host_moving_avg_cpu	name	memory_active_anon%	net_send	timestamp	memory%	net_receive	host_cpu	container_cpu%	sensor_count	memory_rss%
nan	cassandra-001	38.3	737229.249	2018-08-18T01:51:09.268593328Z	57.82	4699037.483	0	1.06	2	38.3
nan	cassandra-001	38.32	0.342	2018-08-18T01:51:16.276588789Z	57.85	0.282	1.06	11.9	5	38.32
nan	cassandra-001	38.32	0.0	2018-08-18T01:51:23.28408687Z	58.29	0.0	11.9	54.45	10	38.32
nan	cassandra-001	38.33	0.0	2018-08-18T01:51:30.29049002Z	59.25	0.0	54.45	16.72	13	38.33
nan	cassandra-001	38.33	0.0	2018-08-18T01:51:37.299263311Z	59.33	0.0	16.72	20.76	17	38.33
17.48	cassandra-001	38.32	0.342	2018-08-18T01:51:44.306021822Z	59.43	0.282	20.76	24.37	20	38.32
21.54	cassandra-001	38.32	0.0	2018-08-18T01:51:51.312424844Z	59.54	0.0	24.37	36.17	24	38.32
27.4	cassandra-001	38.32	0.0	2018-08-18T01:51:58.318857856Z	59.68	0.0	36.17	31.46	26	38.32
30.66	cassandra-001	38.32	0.0	2018-08-18T01:52:05.325373737Z	59.82	0.0	31.46	33.99	29	38.32
27.25	cassandra-001	38.33	0.342	2018-08-18T01:52:12.333463193Z	59.99	0.282	33.99	35.02	32	38.33
30.3	cassandra-001	38.34	0.0	2018-08-18T01:52:19.343998573Z	60.17	0.0	35.02	40.66	35	38.34
33.61	cassandra-001	38.34	0.0	2018-08-18T01:52:26.350194117Z	60.35	0.0	40.66	37.73	37	38.34
35.84	cassandra-001	38.34	0.0	2018-08-18T01:52:33.357261424Z	60.55	0.0	37.73	42.93	40	38.34
36.97	cassandra-001	38.34	0.0	2018-08-18T01:52:40.364865422Z	60.77	0.0	42.93	44.55	42	38.34
39.15	cassandra-001	38.34	0.342	2018-08-18T01:52:47.371768558Z	61.0	0.282	44.55	44.04	44	38.34
40.82	cassandra-001	38.34	0.0	2018-08-18T01:52:54.379165339Z	61.26	0.0	44.04	53.63	46	38.34
43.92	cassandra-001	38.34	0.0	2018-08-18T01:53:01.389279145Z	63.47	0.0	53.63	92.65	48	38.34
52.59	cassandra-001	38.34	0.0	2018-08-18T01:53:08.398434077Z	65.68	0.0	92.65	71.87	50	38.34
58.28	cassandra-001	38.37	0.342	2018-08-18T01:53:15.404221288Z	68.07	0.282	71.87	79.85	52	38.37
64.43	cassandra-001	38.37	0.0	2018-08-18T01:53:22.412176394Z	70.3	0.0	79.85	85.9	54	38.37
71.32	cassandra-001	38.37	59.961	2018-08-18T01:53:29.420593501Z	65.4	3.031	85.9	49.73	56	38.37
72.27	cassandra-001	38.37	0.0	2018-08-18T01:53:36.428012422Z	65.68	0.0	49.73	52.11	58	38.37
72.02	cassandra-001	38.38	0.0	2018-08-18T01:53:43.436266122Z	66.0	0.0	52.11	58.27	60	38.38
66.29	cassandra-001	38.39	0.0	2018-08-18T01:53:50.442604285Z	66.02	0.0	58.27	62.67	61	38.39
64.76	cassandra-001	38.39	0.342	2018-08-18T01:53:57.449345281Z	66.34	0.282	62.67	72.36	63	38.39
63.51	cassandra-001	38.43	0.0	2018-08-18T01:54:04.456424981Z	66.7	0.0	72.36	65.71	65	38.43
60.14	cassandra-001	38.43	0.0	2018-08-18T01:54:11.462334751Z	67.04	0.0	65.71	65.77	67	38.43
62.82	cassandra-001	38.43	0.0	2018-08-18T01:54:18.468638125Z	67.39	0.0	65.77	58.7	68	38.43
63.91	cassandra-001	38.43	0.171	2018-08-18T01:54:25.475399101Z	67.74	0.141	58.7	69.13	70	38.43
65.72	cassandra-001	38.43	0.171	2018-08-18T01:54:32.482288999Z	67.8	0.141	69.13	69.04	72	38.43
66.79	cassandra-001	38.43	0.0	2018-08-18T01:54:39.489235579Z	68.17	0.0	69.04	64.02	73	38.43
65.4	cassandra-001	38.43	0.0	2018-08-18T01:54:46.4959032Z	68.56	0.0	64.02	63.54	75	38.43
65.03	cassandra-001	38.48	0.0	2018-08-18T01:54:53.503777844Z	68.98	0.0	63.54	67.94	76	38.48
65.4	cassandra-001	38.48	0.342	2018-08-18T01:55:00.512084105Z	69.37	0.282	67.94	85.4	77	38.48
69.85	cassandra-001	38.48	0.0	2018-08-18T01:55:07.519512614Z	71.08	0.0	85.4	87.59	79	38.48
72.92	cassandra-001	38.47	0.0	2018-08-18T01:55:14.527523887Z	70.26	0.0	87.59	70.06	80	38.47
73.09	cassandra-001	38.47	0.0	2018-08-18T01:55:21.534164761Z	70.69	0.0	70.06	82.29	82	38.47
