host_moving_avg_cpu	name	memory_active_anon%	net_send	timestamp	memory%	net_receive	host_cpu	container_cpu%	sensor_count	memory_rss%
nan	kafka-001	15.93	18679836.433	2018-08-18T02:12:05.733313004Z	89.1	18155878.239	0	1.95	0	15.93
nan	kafka-001	15.93	1.052	2018-08-18T02:12:12.750402364Z	89.1	1.865	1.95	1.76	0	15.93
nan	kafka-001	15.93	1.274	2018-08-18T02:12:19.761385838Z	89.1	2.107	1.76	1.49	0	15.93
nan	kafka-001	15.93	1.768	2018-08-18T02:12:26.772631773Z	89.1	3.066	1.49	1.66	0	15.93
nan	kafka-001	15.93	1.138	2018-08-18T02:12:33.785132997Z	89.1	2.009	1.66	2.54	0	15.93
1.57	kafka-001	15.93	1.404	2018-08-18T02:12:40.797268597Z	89.1	2.412	2.54	2.02	0	15.93
1.9	kafka-001	15.93	1.866	2018-08-18T02:12:47.810214019Z	89.1	2.815	2.02	1.53	0	15.93
1.83	kafka-001	15.93	1.88	2018-08-18T02:12:54.824688015Z	89.1	2.867	1.53	1.66	0	15.93
1.82	kafka-001	15.93	1.338	2018-08-18T02:13:01.834277731Z	89.1	2.346	1.66	1.65	0	15.93
1.84	kafka-001	15.93	1.318	2018-08-18T02:13:08.845774914Z	89.1	2.209	1.65	2.36	0	15.93
1.96	kafka-001	15.93	1.682	2018-08-18T02:13:15.857201021Z	89.1	2.922	2.36	2.04	0	15.93
1.88	kafka-001	15.93	1.337	2018-08-18T02:13:22.868123693Z	89.1	2.227	2.04	1.66	0	15.93
