container_cpu%	net_send	sensor_count	memory_rss%	net_receive	host_cpu	host_moving_avg_cpu	name	memory_active_anon%	timestamp	memory%
3.32	18690512.074	2	15.96	18173575.19	0	nan	kafka-001	15.96	2018-08-19T01:50:30.437812269Z	88.92
3.06	17.377	6	15.96	25.083	3.32	nan	kafka-001	15.96	2018-08-19T01:50:37.453034712Z	88.92
3.58	27.457	10	15.96	41.793	3.06	nan	kafka-001	15.96	2018-08-19T01:50:44.464389118Z	88.93
5.04	62.202	14	15.96	60.568	3.58	nan	kafka-001	15.96	2018-08-19T01:50:51.475949973Z	88.93
6.06	54.72	18	15.96	77.005	5.04	nan	kafka-001	15.96	2018-08-19T01:50:58.487977597Z	88.93
7.29	104.353	22	15.96	94.934	6.06	3.51	kafka-001	15.96	2018-08-19T01:51:05.498742988Z	88.93
6.75	80.92	25	15.96	107.116	7.29	4.72	kafka-001	15.96	2018-08-19T01:51:12.509492338Z	88.93
7.24	90.426	28	15.96	119.268	6.75	5.3	kafka-001	15.96	2018-08-19T01:51:19.521942777Z	88.93
8.74	150.396	31	15.96	131.962	7.24	5.99	kafka-001	15.96	2018-08-19T01:51:26.533748433Z	88.93
9.55	107.266	33	15.96	137.993	8.74	6.85	kafka-001	15.96	2018-08-19T01:51:33.544959264Z	88.93
10.29	175.52	35	15.96	149.392	9.55	7.6	kafka-001	15.96	2018-08-19T01:51:40.556374644Z	88.93
8.98	125.08	38	15.96	160.373	10.29	8.31	kafka-001	15.96	2018-08-19T01:51:47.567928953Z	88.93
9.18	132.154	40	15.96	170.081	8.98	8.59	kafka-001	15.96	2018-08-19T01:51:54.584078454Z	88.93
9.29	213.136	43	15.96	180.726	9.18	9.0	kafka-001	15.96	2018-08-19T01:52:01.594804513Z	88.94
11.63	147.692	45	15.96	188.325	9.29	9.34	kafka-001	15.96	2018-08-19T01:52:08.60679662Z	88.94
12.93	231.816	47	15.96	196.674	11.63	9.82	kafka-001	15.96	2018-08-19T01:52:15.617043584Z	88.94
11.8	163.137	49	15.96	200.579	12.93	10.38	kafka-001	15.96	2018-08-19T01:52:22.627696006Z	88.94
12.73	169.539	51	15.96	213.611	11.8	10.64	kafka-001	15.96	2018-08-19T01:52:29.641916585Z	88.94
