container_cpu%	net_send	sensor_count	memory_rss%	net_receive	host_cpu	host_moving_avg_cpu	name	memory_active_anon%	timestamp	memory%
1.26	21388.411	0	38.55	195867.953	0	nan	cassandra-001	38.55	2018-08-19T04:21:44.34151505Z	61.74
1.33	0.0	0	38.55	0.0	1.26	nan	cassandra-001	38.55	2018-08-19T04:21:51.349178502Z	61.74
1.26	0.0	0	38.55	0.0	1.33	nan	cassandra-001	38.55	2018-08-19T04:21:58.359690276Z	61.74
1.27	0.0	0	38.55	0.0	1.26	nan	cassandra-001	38.55	2018-08-19T04:22:05.367037159Z	61.74
1.23	0.171	0	38.55	0.141	1.27	nan	cassandra-001	38.55	2018-08-19T04:22:12.378294943Z	61.74
1.22	0.171	0	38.55	0.141	1.23	1.06	cassandra-001	38.55	2018-08-19T04:22:19.385335517Z	61.74
2.94	0.0	0	38.55	0.0	1.22	1.26	cassandra-001	38.55	2018-08-19T04:22:26.392992371Z	61.74
1.29	0.0	0	38.55	0.0	2.94	1.54	cassandra-001	38.55	2018-08-19T04:22:33.445510444Z	61.74
2.02	0.171	0	38.55	0.141	1.29	1.54	cassandra-001	38.55	2018-08-19T04:22:40.453522319Z	61.74
1.26	0.171	0	38.55	0.141	2.02	1.66	cassandra-001	38.55	2018-08-19T04:22:47.460457881Z	61.74
1.37	0.0	0	38.55	0.0	1.26	1.66	cassandra-001	38.55	2018-08-19T04:22:54.467855545Z	61.74
1.33	0.0	0	38.55	0.0	1.37	1.68	cassandra-001	38.55	2018-08-19T04:23:01.475949266Z	61.74
