container_cpu%	net_send	sensor_count	memory_rss%	net_receive	host_cpu	host_moving_avg_cpu	name	memory_active_anon%	timestamp	memory%
38.62	28059.154	3	38.44	260497.8	0	nan	cassandra-001	38.44	2018-08-19T05:19:23.729312243Z	91.43
36.27	1.474	8	38.43	11.126	38.62	nan	cassandra-001	38.43	2018-08-19T05:19:30.736977564Z	91.47
40.93	1.382	12	38.43	11.264	36.27	nan	cassandra-001	38.43	2018-08-19T05:19:37.744025109Z	91.72
32.2	1.592	16	38.43	14.973	40.93	nan	cassandra-001	38.43	2018-08-19T05:19:44.751328081Z	91.56
16.63	3.919	20	38.44	41.266	32.2	nan	cassandra-001	38.44	2018-08-19T05:19:51.760105029Z	91.75
30.7	3.344	23	38.44	26.359	16.63	27.44	cassandra-001	38.44	2018-08-19T05:19:58.768228506Z	91.71
38.21	5.854	26	38.44	60.503	30.7	32.56	cassandra-001	38.44	2018-08-19T05:20:05.775934802Z	91.79
35.97	2.972	29	38.44	33.464	38.21	32.49	cassandra-001	38.44	2018-08-19T05:20:12.784492781Z	91.4
37.42	3.657	32	38.44	37.014	35.97	32.44	cassandra-001	38.44	2018-08-19T05:20:19.791026507Z	91.69
2.63	10.098	35	38.44	82.964	37.42	31.85	cassandra-001	38.44	2018-08-19T05:20:26.798237713Z	91.59
42.4	4.896	37	38.44	45.483	2.63	26.93	cassandra-001	38.44	2018-08-19T05:20:33.804715917Z	91.56
35.54	8.694	40	38.44	95.972	42.4	31.22	cassandra-001	38.44	2018-08-19T05:20:40.811263744Z	91.57
38.66	5.157	42	38.44	51.42	35.54	32.03	cassandra-001	38.44	2018-08-19T05:20:47.819639433Z	91.53
25.76	4.748	44	38.44	52.69	38.66	32.1	cassandra-001	38.44	2018-08-19T05:20:54.826096091Z	91.76
3.11	12.134	46	38.44	109.99	25.76	30.4	cassandra-001	38.44	2018-08-19T05:21:01.83432821Z	91.58
26.51	4.614	49	38.44	58.557	3.11	24.68	cassandra-001	38.44	2018-08-19T05:21:08.841656277Z	91.67
40.28	12.301	51	38.44	124.151	26.51	28.66	cassandra-001	38.44	2018-08-19T05:21:15.848813742Z	91.5
36.86	6.5	53	38.44	65.038	40.28	28.31	cassandra-001	38.44	2018-08-19T05:21:22.859343485Z	91.5
36.89	6.552	54	38.44	66.771	36.86	28.53	cassandra-001	38.44	2018-08-19T05:21:29.86621256Z	91.37
2.77	11.202	56	38.44	135.617	36.89	28.24	cassandra-001	38.44	2018-08-19T05:21:36.873085893Z	91.47
29.51	8.108	58	38.44	72.709	2.77	24.4	cassandra-001	38.44	2018-08-19T05:21:43.881127838Z	91.46
51.97	15.699	60	38.44	141.436	29.51	28.8	cassandra-001	38.44	2018-08-19T05:21:50.887572126Z	91.63
45.19	8.08	62	38.44	77.263	51.97	33.05	cassandra-001	38.44	2018-08-19T05:21:57.897957267Z	91.7
30.77	7.314	64	38.44	78.618	45.19	33.86	cassandra-001	38.44	2018-08-19T05:22:04.908634736Z	91.63
2.79	15.102	66	38.44	159.521	30.77	32.85	cassandra-001	38.44	2018-08-19T05:22:11.915214347Z	91.68
39.47	7.061	67	38.44	82.269	2.79	27.17	cassandra-001	38.44	2018-08-19T05:22:18.921740037Z	91.38
46.38	15.376	69	38.44	171.239	39.47	33.28	cassandra-001	38.44	2018-08-19T05:22:25.928300898Z	91.4
41.05	9.304	71	38.44	89.411	46.38	36.1	cassandra-001	38.44	2018-08-19T05:22:32.935443198Z	91.68
39.05	9.462	72	38.44	87.161	41.05	34.28	cassandra-001	38.44	2018-08-19T05:22:39.943543451Z	91.6
2.29	21.153	74	38.45	181.822	39.05	33.25	cassandra-001	38.45	2018-08-19T05:22:46.949932026Z	91.39
1.17	10.596	76	38.42	93.684	2.29	28.5	cassandra-001	38.42	2018-08-19T05:22:53.956617494Z	67.74
8.81	20.874	77	38.42	192.947	1.17	28.23	cassandra-001	38.42	2018-08-19T05:23:00.963232222Z	67.74
1.28	8.694	78	38.42	95.364	8.81	23.12	cassandra-001	38.42	2018-08-19T05:23:07.970969647Z	67.74
1.34	8.548	80	38.42	98.34	1.28	15.61	cassandra-001	38.42	2018-08-19T05:23:14.977028404Z	67.74
1.39	19.721	82	38.42	201.901	1.34	8.99	cassandra-001	38.42	2018-08-19T05:23:21.98361962Z	67.74
1.42	10.342	83	38.42	102.443	1.39	2.71	cassandra-001	38.42	2018-08-19T05:23:28.991363417Z	67.74
10.66	22.016	85	38.42	207.323	1.42	2.57	cassandra-001	38.42	2018-08-19T05:23:35.998412465Z	67.74
1.14	11.08	86	38.42	106.57	10.66	4.15	cassandra-001	38.42	2018-08-19T05:23:43.005470784Z	67.74
1.18	12.399	88	38.42	109.992	1.14	2.87	cassandra-001	38.42	2018-08-19T05:23:50.012457782Z	67.74
1.27	22.092	89	38.42	220.921	1.18	2.85	cassandra-001	38.42	2018-08-19T05:23:57.019143609Z	67.74
1.26	9.402	90	38.42	110.364	1.27	2.84	cassandra-001	38.42	2018-08-19T05:24:04.025948451Z	67.74
11.62	18.552	92	38.42	225.447	1.26	2.82	cassandra-001	38.42	2018-08-19T05:24:11.032683811Z	67.74
1.31	11.895	93	38.42	115.765	11.62	4.52	cassandra-001	38.42	2018-08-19T05:24:18.040553385Z	67.74
2.64	11.942	94	38.42	138.769	1.31	2.96	cassandra-001	38.42	2018-08-19T05:24:25.047657451Z	67.74
1.29	16.984	96	38.42	210.746	2.64	3.21	cassandra-001	38.42	2018-08-19T05:24:32.056001823Z	67.74
1.28	8.99	97	38.42	111.89	1.29	3.23	cassandra-001	38.42	2018-08-19T05:24:39.062324832Z	67.74
8.64	27.139	99	38.42	247.328	1.28	3.23	cassandra-001	38.42	2018-08-19T05:24:46.068752992Z	67.74
1.24	11.84	100	38.42	123.014	8.64	4.46	cassandra-001	38.42	2018-08-19T05:24:53.077291743Z	67.74
10.67	27.454	101	38.42	251.653	1.24	2.73	cassandra-001	38.42	2018-08-19T05:25:00.083370326Z	67.75
1.27	12.578	103	38.42	126.098	10.67	4.29	cassandra-001	38.42	2018-08-19T05:25:07.090313343Z	67.75
1.17	14.254	104	38.44	127.246	1.27	4.06	cassandra-001	38.44	2018-08-19T05:25:14.095744926Z	67.77
4.89	29.945	105	38.47	262.445	1.17	4.04	cassandra-001	38.44	2018-08-19T05:25:21.101805436Z	67.8
1.31	15.164	106	38.46	130.274	4.89	4.65	cassandra-001	38.46	2018-08-19T05:25:28.108496008Z	67.79
15.98	28.835	108	38.46	265.681	1.31	3.42	cassandra-001	38.46	2018-08-19T05:25:35.114380134Z	67.8
1.36	17.024	109	38.47	135.145	15.98	5.88	cassandra-001	38.44	2018-08-19T05:25:42.120899252Z	67.8
1.34	15.505	110	38.47	136.06	1.36	4.33	cassandra-001	38.47	2018-08-19T05:25:49.127173424Z	67.8
3.5	27.116	111	38.49	278.193	1.34	4.34	cassandra-001	38.49	2018-08-19T05:25:56.133472919Z	67.82
