memory_active_anon%	memory%	sensor_count	net_send	host_cpu	name	timestamp	container_cpu%	host_moving_avg_cpu	memory_rss%	net_receive
15.95	88.9	1	18686414.386	0	kafka-001	2018-08-18T21:50:09.640998741Z	1.41	nan	15.95	18167580.629
15.95	88.91	4	1.552	1.41	kafka-001	2018-08-18T21:50:16.655010711Z	1.73	nan	15.95	2.676
15.95	88.9	7	1.052	1.73	kafka-001	2018-08-18T21:50:23.670938517Z	2.39	nan	15.95	1.865
15.95	88.9	10	1.596	2.39	kafka-001	2018-08-18T21:50:30.686398631Z	1.72	nan	15.95	2.778
15.95	88.91	14	1.404	1.72	kafka-001	2018-08-18T21:50:37.697587268Z	1.59	nan	15.95	2.353
15.95	88.91	17	1.226	1.59	kafka-001	2018-08-18T21:50:44.70915632Z	1.46	1.47	15.95	2.039
15.95	88.91	21	1.972	1.46	kafka-001	2018-08-18T21:50:51.721291056Z	1.48	1.72	15.95	3.096
15.95	88.91	24	1.952	1.48	kafka-001	2018-08-18T21:50:58.7334044Z	1.96	1.73	15.95	2.959
15.95	88.9	26	1.424	1.96	kafka-001	2018-08-18T21:51:05.745359451Z	2.0	1.77	15.95	2.49
15.95	88.91	29	1.094	2.0	kafka-001	2018-08-18T21:51:12.757090646Z	1.57	1.7	15.95	1.907
15.95	88.91	32	1.49	1.57	kafka-001	2018-08-18T21:51:19.76899459Z	1.36	1.68	15.95	2.497
15.95	88.91	34	1.51	1.36	kafka-001	2018-08-18T21:51:26.780493894Z	1.69	1.64	15.95	2.634
15.95	88.9	36	1.052	1.69	kafka-001	2018-08-18T21:51:33.791783298Z	2.27	1.68	15.95	1.865
15.95	88.9	39	1.846	2.27	kafka-001	2018-08-18T21:51:40.803947099Z	1.96	1.81	15.95	3.362
15.95	88.91	41	1.404	1.96	kafka-001	2018-08-18T21:51:47.81616099Z	1.53	1.81	15.95	2.353
15.95	88.91	43	1.052	1.53	kafka-001	2018-08-18T21:51:54.826322321Z	1.49	1.73	15.95	1.865
15.95	88.91	45	1.774	1.49	kafka-001	2018-08-18T21:52:01.837111302Z	1.56	1.72	15.95	2.898
15.95	88.9	46	1.994	1.56	kafka-001	2018-08-18T21:52:08.849981958Z	2.19	1.75	15.95	3.001
15.95	88.91	48	1.754	2.19	kafka-001	2018-08-18T21:52:15.861488315Z	2.06	1.83	15.95	2.82
15.95	88.91	50	1.052	2.06	kafka-001	2018-08-18T21:52:22.873172895Z	1.71	1.8	15.95	1.865
15.95	88.91	52	1.49	1.71	kafka-001	2018-08-18T21:52:29.8856157Z	1.56	1.76	15.95	2.497
15.95	88.91	54	1.552	1.56	kafka-001	2018-08-18T21:52:36.897845403Z	1.79	1.76	15.95	2.676
15.95	88.91	55	1.052	1.79	kafka-001	2018-08-18T21:52:43.910634865Z	2.47	1.81	15.95	1.865
15.95	88.91	57	1.596	2.47	kafka-001	2018-08-18T21:52:50.921687239Z	2.0	1.96	15.95	2.778
15.95	88.91	59	1.404	2.0	kafka-001	2018-08-18T21:52:57.936016316Z	1.86	1.93	15.95	2.353
15.95	88.91	60	1.094	1.86	kafka-001	2018-08-18T21:53:04.947885572Z	1.56	1.9	15.95	1.907
15.95	88.91	62	1.51	1.56	kafka-001	2018-08-18T21:53:11.960307424Z	1.61	1.87	15.95	2.634
15.95	88.91	63	1.886	1.61	kafka-001	2018-08-18T21:53:18.97338954Z	2.3	1.88	15.95	2.893
15.95	88.91	65	1.977	2.3	kafka-001	2018-08-18T21:53:25.98633851Z	2.04	1.97	15.95	3.062
15.95	88.91	66	1.358	2.04	kafka-001	2018-08-18T21:53:32.997632062Z	1.74	1.89	15.95	2.171
15.95	88.91	68	1.682	1.74	kafka-001	2018-08-18T21:53:40.009296154Z	1.68	1.85	15.95	2.922
15.95	88.91	69	1.318	1.68	kafka-001	2018-08-18T21:53:47.019878453Z	1.76	1.82	15.95	2.209
15.95	88.91	71	1.052	1.76	kafka-001	2018-08-18T21:53:54.031351576Z	2.32	1.85	15.95	1.865
15.95	88.91	72	1.638	2.32	kafka-001	2018-08-18T21:54:01.042514461Z	1.72	1.97	15.95	2.82
15.95	88.91	74	1.404	1.72	kafka-001	2018-08-18T21:54:08.054930917Z	1.63	1.88	15.95	2.353
15.95	88.91	75	1.424	1.63	kafka-001	2018-08-18T21:54:15.0659826Z	1.79	1.81	15.95	2.49
15.95	88.91	76	1.138	1.79	kafka-001	2018-08-18T21:54:22.077682433Z	1.51	1.82	15.95	2.009
15.95	88.91	77	1.598	1.51	kafka-001	2018-08-18T21:54:29.087957728Z	2.28	1.79	15.95	2.605
15.95	88.91	79	1.886	2.28	kafka-001	2018-08-18T21:54:36.098569323Z	1.7	1.87	15.95	2.952
15.95	88.9	80	1.448	1.7	kafka-001	2018-08-18T21:54:43.107438646Z	1.8	1.77	15.95	2.261
15.95	88.9	82	1.814	1.8	kafka-001	2018-08-18T21:54:50.119408966Z	1.72	1.78	15.95	3.054
15.95	88.91	83	1.36	1.72	kafka-001	2018-08-18T21:54:57.129804702Z	1.58	1.8	15.95	2.251
15.95	88.91	84	1.052	1.58	kafka-001	2018-08-18T21:55:04.140436344Z	1.34	1.76	15.95	1.865
15.95	88.91	85	1.596	1.34	kafka-001	2018-08-18T21:55:11.150357798Z	1.62	1.74	15.95	2.778
15.95	88.91	87	1.404	1.62	kafka-001	2018-08-18T21:55:18.161112382Z	1.9	1.63	15.95	2.353
15.95	88.91	88	1.466	1.9	kafka-001	2018-08-18T21:55:25.173401746Z	1.97	1.66	15.95	2.532
15.95	88.91	89	1.138	1.97	kafka-001	2018-08-18T21:55:32.187166745Z	1.68	1.69	15.95	2.009
15.95	88.91	90	1.49	1.68	kafka-001	2018-08-18T21:55:39.198297067Z	1.93	1.68	15.95	2.497
15.95	88.91	92	1.622	1.93	kafka-001	2018-08-18T21:55:46.209404291Z	1.71	1.74	15.95	2.688
15.95	88.91	93	1.556	1.71	kafka-001	2018-08-18T21:55:53.220115862Z	2.19	1.8	15.95	2.369
15.95	88.91	94	2.078	2.19	kafka-001	2018-08-18T21:56:00.230735283Z	1.65	1.9	15.95	3.318
15.95	88.91	96	1.318	1.65	kafka-001	2018-08-18T21:56:07.240709658Z	1.63	1.85	15.95	2.209
15.95	88.91	97	1.138	1.63	kafka-001	2018-08-18T21:56:14.257098695Z	1.68	1.8	15.95	2.009
15.95	88.91	98	1.552	1.68	kafka-001	2018-08-18T21:56:21.269528751Z	1.69	1.8	15.95	2.676
15.95	88.91	99	1.404	1.69	kafka-001	2018-08-18T21:56:28.281751286Z	2.56	1.76	15.95	2.353
15.95	88.91	100	1.424	2.56	kafka-001	2018-08-18T21:56:35.294141009Z	1.81	1.9	15.95	2.49
15.95	88.91	102	1.138	1.81	kafka-001	2018-08-18T21:56:42.306351998Z	1.59	1.84	15.95	2.009
15.95	88.91	103	1.532	1.59	kafka-001	2018-08-18T21:56:49.317685465Z	1.52	1.83	15.95	2.539
15.95	88.91	104	1.424	1.52	kafka-001	2018-08-18T21:56:56.32940141Z	1.67	1.81	15.95	2.49
15.95	88.91	105	1.382	1.67	kafka-001	2018-08-18T21:57:03.342621246Z	2.46	1.81	15.95	2.195
15.95	88.91	106	2.674	2.46	kafka-001	2018-08-18T21:57:10.354706867Z	2.21	1.93	15.95	4.602
15.95	88.91	108	2.05	2.21	kafka-001	2018-08-18T21:57:17.369929253Z	1.8	1.88	15.95	3.333
15.95	88.91	109	1.052	1.8	kafka-001	2018-08-18T21:57:24.381165154Z	1.54	1.87	15.95	1.865
15.95	88.91	110	1.898	1.54	kafka-001	2018-08-18T21:57:31.391480088Z	1.79	1.87	15.95	3.376
15.95	88.91	111	1.612	1.79	kafka-001	2018-08-18T21:57:38.407353066Z	2.54	1.91	15.95	2.895
15.95	88.91	112	1.466	2.54	kafka-001	2018-08-18T21:57:45.418722806Z	2.06	2.06	15.95	2.532
15.95	88.91	113	1.67	2.06	kafka-001	2018-08-18T21:57:52.430889428Z	1.5	1.99	15.95	2.751
15.95	88.91	115	1.698	1.5	kafka-001	2018-08-18T21:57:59.439684601Z	1.61	1.87	15.95	3.039
15.95	88.91	116	1.51	1.61	kafka-001	2018-08-18T21:58:06.449534526Z	1.65	1.84	15.95	2.634
15.95	88.91	117	1.008	1.65	kafka-001	2018-08-18T21:58:13.458263796Z	2.47	1.86	15.95	1.763
15.95	88.91	118	2.164	2.47	kafka-001	2018-08-18T21:58:20.467454156Z	1.88	1.97	15.95	3.462
15.95	88.91	119	1.937	1.88	kafka-001	2018-08-18T21:58:27.475469237Z	1.67	1.86	15.95	2.847
