memory_active_anon%	memory%	sensor_count	net_send	host_cpu	name	timestamp	container_cpu%	host_moving_avg_cpu	memory_rss%	net_receive
15.95	88.91	1	18687241.347	0	kafka-001	2018-08-18T22:57:56.905492883Z	1.74	nan	15.95	18168951.193
15.95	88.91	4	1.44	1.74	kafka-001	2018-08-18T22:58:03.917558908Z	2.42	nan	15.95	2.607
15.95	88.91	6	1.71	2.42	kafka-001	2018-08-18T22:58:10.929058353Z	1.91	nan	15.95	3.032
15.95	88.91	9	1.532	1.91	kafka-001	2018-08-18T22:58:17.940065873Z	1.7	nan	15.95	2.539
15.95	88.91	12	1.526	1.7	kafka-001	2018-08-18T22:58:24.950652028Z	1.57	nan	15.95	2.751
15.95	88.91	15	1.842	1.57	kafka-001	2018-08-18T22:58:31.962491297Z	1.72	1.56	15.95	3.098
15.95	88.91	19	2.074	1.72	kafka-001	2018-08-18T22:58:38.978250846Z	2.54	1.84	15.95	3.357
15.95	88.91	22	2.308	2.54	kafka-001	2018-08-18T22:58:45.989456164Z	2.22	1.98	15.95	3.824
15.95	88.91	24	1.663	2.22	kafka-001	2018-08-18T22:58:53.001248597Z	1.56	1.94	15.95	2.849
15.95	88.91	27	1.51	1.56	kafka-001	2018-08-18T22:59:00.012286169Z	1.88	1.89	15.95	2.634
15.95	88.91	30	1.698	1.88	kafka-001	2018-08-18T22:59:07.027673183Z	1.6	1.92	15.95	3.039
15.95	88.91	33	1.482	1.6	kafka-001	2018-08-18T22:59:14.038404974Z	2.29	1.92	15.95	2.649
15.95	88.91	35	1.424	2.29	kafka-001	2018-08-18T22:59:21.048428153Z	1.67	2.02	15.95	2.49
15.95	88.91	38	1.31	1.67	kafka-001	2018-08-18T22:59:28.059277913Z	1.66	1.87	15.95	2.297
15.95	88.91	40	1.552	1.66	kafka-001	2018-08-18T22:59:35.070413351Z	1.86	1.78	15.95	2.676
15.95	88.91	42	1.232	1.86	kafka-001	2018-08-18T22:59:42.081366776Z	1.66	1.83	15.95	2.065
15.95	88.91	44	1.422	1.66	kafka-001	2018-08-18T22:59:49.093128501Z	2.24	1.79	15.95	2.351
15.95	88.91	46	2.144	2.24	kafka-001	2018-08-18T22:59:56.103608889Z	1.77	1.9	15.95	3.384
15.95	88.91	47	1.584	1.77	kafka-001	2018-08-18T23:00:03.116152986Z	1.83	1.81	15.95	2.359
15.95	88.91	49	1.51	1.83	kafka-001	2018-08-18T23:00:10.127697488Z	1.87	1.84	15.95	2.634
15.95	88.91	51	1.31	1.87	kafka-001	2018-08-18T23:00:17.140238464Z	1.64	1.87	15.95	2.297
15.95	88.91	53	1.44	1.64	kafka-001	2018-08-18T23:00:24.164073736Z	1.94	1.84	15.95	2.607
15.95	88.91	55	1.674	1.94	kafka-001	2018-08-18T23:00:31.17590583Z	1.56	1.88	15.95	3.074
15.95	88.91	57	1.698	1.56	kafka-001	2018-08-18T23:00:38.191231704Z	1.98	1.77	15.95	3.039
