host_moving_avg_cpu	host_cpu	container_cpu%	net_receive	name	net_send	sensor_count	memory_rss%	memory_active_anon%	memory%	timestamp
96.61	93.36	98.0	1616.719	kafka-001	1266.728	382	30.1	30.1	88.74	2019-04-24T23:05:38.543827653Z
95.83	98.0	85.45	1630.61	kafka-001	1942.355	383	30.1	30.1	88.77	2019-04-24T23:05:45.560205742Z
94.7	85.45	97.42	2204.799	kafka-001	1276.142	384	30.1	30.1	88.8	2019-04-24T23:05:52.574193457Z
94.26	97.42	108.49	19911.964	kafka-001	1335.388	385	30.1	30.1	89.27	2019-04-24T23:05:59.586199024Z
97.16	108.49	119.57	34397.54	kafka-001	2054.401	386	30.1	30.1	88.97	2019-04-24T23:06:06.600879711Z
100.38	119.57	134.48	47162.824	kafka-001	1412.246	387	30.1	30.1	88.78	2019-04-24T23:06:13.618437226Z
107.24	134.48	138.69	61282.539	kafka-001	2126.903	388	30.1	30.1	89.17	2019-04-24T23:06:20.634984185Z
114.02	138.69	138.34	70733.156	kafka-001	1473.48	389	30.1	30.1	88.71	2019-04-24T23:06:27.648577771Z
122.83	138.34	150.35	80610.114	kafka-001	1516.16	390	30.1	30.1	88.55	2019-04-24T23:06:34.657430183Z
131.65	150.35	147.56	83541.356	kafka-001	2197.239	391	30.1	30.1	88.46	2019-04-24T23:06:41.669856271Z
138.17	147.56	142.95	82108.628	kafka-001	1515.073	392	30.1	30.1	88.34	2019-04-24T23:06:48.683382706Z
142.06	142.95	131.07	88157.432	kafka-001	2214.851	393	30.1	30.1	88.38	2019-04-24T23:06:55.696672121Z
141.49	131.07	146.28	93794.824	kafka-001	1549.224	394	30.1	30.1	88.55	2019-04-24T23:07:02.713570978Z
142.76	146.28	139.39	96245.67	kafka-001	1560.05	395	30.1	30.1	88.79	2019-04-24T23:07:09.725911447Z
142.93	139.39	146.2	96806.266	kafka-001	2235.626	396	30.1	30.1	89.05	2019-04-24T23:07:16.735939329Z
142.24	146.2	145.56	98745.825	kafka-001	1577.571	397	30.1	30.1	89.11	2019-04-24T23:07:23.748055053Z
141.91	145.56	144.53	98463.061	kafka-001	2238.882	398	30.1	30.1	88.39	2019-04-24T23:07:30.760712659Z
142.17	144.53	148.2	93244.457	kafka-001	1556.583	399	30.1	30.1	88.58	2019-04-24T23:07:37.77181297Z
145.03	148.2	149.46	98131.259	kafka-001	1561.041	400	30.1	30.1	88.9	2019-04-24T23:07:44.783208954Z
145.56	149.46	147.16	98140.93	kafka-001	2238.811	401	30.1	30.1	89.21	2019-04-24T23:07:51.796311337Z
146.85	147.16	150.72	98447.342	kafka-001	1557.265	402	30.1	30.1	88.49	2019-04-24T23:07:58.808699782Z
147.61	150.72	127.02	94639.297	kafka-001	2247.284	403	30.1	30.1	88.5	2019-04-24T23:08:05.820984067Z
144.52	127.02	141.99	99323.755	kafka-001	1562.751	404	30.1	30.1	88.38	2019-04-24T23:08:12.834145057Z
144.09	141.99	124.47	98014.325	kafka-001	1562.373	405	30.1	30.1	88.72	2019-04-24T23:08:19.849534846Z
140.14	124.47	141.94	90450.659	kafka-001	2273.696	406	30.1	30.1	88.87	2019-04-24T23:08:26.865255389Z
138.88	141.94	124.19	98799.909	kafka-001	1511.933	407	30.1	30.1	89.24	2019-04-24T23:08:33.87752101Z
135.06	124.19	140.76	99516.199	kafka-001	2252.966	408	30.1	30.1	88.39	2019-04-24T23:08:40.889228353Z
133.4	140.76	132.66	98866.815	kafka-001	1564.553	408	30.1	30.1	89.23	2019-04-24T23:08:47.900542894Z
134.34	132.66	121.0	99270.679	kafka-001	1565.004	409	30.1	30.1	88.59	2019-04-24T23:08:54.915496162Z
130.84	121.0	140.31	97252.899	kafka-001	2274.77	410	30.1	30.1	88.98	2019-04-24T23:09:01.927458203Z
133.48	140.31	147.51	99396.674	kafka-001	1579.891	410	30.1	30.1	88.41	2019-04-24T23:09:08.941220136Z
134.41	147.51	132.89	99027.904	kafka-001	2257.743	411	30.1	30.1	88.81	2019-04-24T23:09:15.954247249Z
135.86	132.89	148.58	99804.26	kafka-001	1589.172	412	30.1	30.1	89.25	2019-04-24T23:09:22.97341053Z
137.16	148.58	132.1	98743.133	kafka-001	1585.746	412	30.1	30.1	88.64	2019-04-24T23:09:29.985300191Z
137.07	132.1	149.6	100010.537	kafka-001	2269.811	413	30.1	30.1	88.86	2019-04-24T23:09:37.002678545Z
141.83	149.6	149.02	93224.237	kafka-001	1569.198	414	30.1	30.1	89.16	2019-04-24T23:09:44.016149909Z
143.28	149.02	137.35	97886.875	kafka-001	2265.191	414	30.1	30.1	88.49	2019-04-24T23:09:51.029655055Z
141.59	137.35	146.71	99437.216	kafka-001	1595.78	415	30.1	30.1	88.94	2019-04-24T23:09:58.041230271Z
143.89	146.71	146.74	98763.614	kafka-001	1589.584	416	30.1	30.1	89.31	2019-04-24T23:10:05.05436156Z
143.59	146.74	135.33	98343.266	kafka-001	2264.343	416	30.1	30.1	88.78	2019-04-24T23:10:12.072214975Z
144.13	135.33	152.59	99341.275	kafka-001	1589.863	417	30.1	30.1	89.03	2019-04-24T23:10:19.084625174Z
144.62	152.59	131.07	97206.911	kafka-001	2264.482	418	30.1	30.1	88.88	2019-04-24T23:10:26.096155135Z
141.63	131.07	152.73	99134.222	kafka-001	1610.898	419	30.1	30.1	89.12	2019-04-24T23:10:33.106740077Z
144.2	152.73	138.79	96704.799	kafka-001	2283.325	420	30.1	30.1	88.99	2019-04-24T23:10:40.118755353Z
142.88	138.79	153.99	99436.887	kafka-001	1619.058	421	30.1	30.1	89.02	2019-04-24T23:10:47.134182113Z
144.08	153.99	144.39	94824.875	kafka-001	1603.37	422	30.1	30.1	88.85	2019-04-24T23:10:54.145685236Z
145.59	144.39	143.15	98887.767	kafka-001	2294.069	422	30.1	30.1	88.89	2019-04-24T23:11:01.160985185Z
144.02	143.15	144.75	94296.528	kafka-001	1609.79	422	30.1	30.1	89.28	2019-04-24T23:11:08.179269979Z
146.3	144.75	158.68	102191.14	kafka-001	2295.804	422	30.1	30.1	88.92	2019-04-24T23:11:15.192982405Z
147.29	158.68	145.11	98858.532	kafka-001	1611.798	422	30.1	30.1	88.45	2019-04-24T23:11:22.204591978Z
148.35	145.11	131.03	98869.095	kafka-001	1613.441	422	30.1	30.1	88.96	2019-04-24T23:11:29.216023646Z
144.52	131.03	141.74	102028.157	kafka-001	2293.328	422	30.1	30.1	88.63	2019-04-24T23:11:36.226190824Z
144.08	141.74	148.46	101175.417	kafka-001	1612.255	422	30.1	30.1	88.53	2019-04-24T23:11:43.240233905Z
144.96	148.46	141.04	101874.565	kafka-001	2282.812	422	30.1	30.1	88.2	2019-04-24T23:11:50.248422735Z
144.34	141.04	146.34	100688.419	kafka-001	1621.576	422	30.1	30.1	88.63	2019-04-24T23:11:57.262598689Z
142.29	146.34	151.42	102033.101	kafka-001	1598.823	422	30.1	30.1	88.74	2019-04-24T23:12:04.274942457Z
143.34	151.42	144.39	102479.426	kafka-001	2283.681	422	30.1	30.1	89.34	2019-04-24T23:12:11.286555055Z
145.57	144.39	145.69	101474.808	kafka-001	1603.981	422	30.1	30.1	89.17	2019-04-24T23:12:18.300600454Z
