net_receive	host_cpu	sensor_count	timestamp	memory%	net_send	memory_active_anon%	container_cpu%	host_moving_avg_cpu	name	memory_rss%
3878242.229	0	2	2018-08-17T19:50:57.699865196Z	77.26	654193.11	38.12	1.17	nan	cassandra-001	38.12
3.033	1.17	7	2018-08-17T19:51:04.709147914Z	77.26	0.5	38.12	1.2	nan	cassandra-001	38.12
18.408	1.2	11	2018-08-17T19:51:11.717489966Z	77.25	2.131	38.11	1.5	nan	cassandra-001	38.11
14.866	1.5	15	2018-08-17T19:51:18.724352695Z	77.25	1.13	38.11	1.23	nan	cassandra-001	38.11
39.442	1.23	18	2018-08-17T19:51:25.733215046Z	77.25	3.986	38.11	4.6	nan	cassandra-001	38.11
25.461	4.6	22	2018-08-17T19:51:32.740785472Z	77.25	3.054	38.11	1.09	1.62	cassandra-001	38.11
28.658	1.09	25	2018-08-17T19:51:39.747769073Z	77.25	3.673	38.11	1.09	1.8	cassandra-001	38.11
64.135	1.09	28	2018-08-17T19:51:46.755051685Z	77.25	6.856	38.11	3.01	1.78	cassandra-001	38.11
36.159	3.01	31	2018-08-17T19:51:53.761797892Z	77.25	3.75	38.11	1.17	2.09	cassandra-001	38.11
81.891	1.17	34	2018-08-17T19:52:00.770225073Z	77.25	8.58	38.11	6.19	2.03	cassandra-001	38.11
43.935	6.19	36	2018-08-17T19:52:07.779209225Z	77.25	4.632	38.11	1.04	2.86	cassandra-001	38.11
47.396	1.04	39	2018-08-17T19:52:14.792774013Z	77.25	5.713	38.11	1.01	2.26	cassandra-001	38.11
99.78	1.01	41	2018-08-17T19:52:21.802642704Z	77.25	11.716	38.11	1.16	2.25	cassandra-001	38.11
52.207	1.16	43	2018-08-17T19:52:28.809293954Z	77.25	5.58	38.11	1.14	2.26	cassandra-001	38.11
111.094	1.14	46	2018-08-17T19:52:35.815378114Z	77.25	10.986	38.11	7.32	1.95	cassandra-001	38.11
58.928	7.32	48	2018-08-17T19:52:42.82202794Z	77.25	6.079	38.11	1.13	2.98	cassandra-001	38.11
60.388	1.13	50	2018-08-17T19:52:49.828552808Z	77.25	5.96	38.11	1.11	2.13	cassandra-001	38.11
126.306	1.11	52	2018-08-17T19:52:56.837152782Z	77.25	12.42	38.11	1.08	2.14	cassandra-001	38.11
65.612	1.08	54	2018-08-17T19:53:03.84554294Z	77.25	7.846	38.11	1.11	2.16	cassandra-001	38.11
128.695	1.11	56	2018-08-17T19:53:10.853563159Z	77.25	12.073	38.11	8.01	2.15	cassandra-001	38.11
71.961	8.01	57	2018-08-17T19:53:17.862827698Z	77.25	8.016	38.11	1.03	3.29	cassandra-001	38.11
71.995	1.03	59	2018-08-17T19:53:24.869816903Z	77.25	7.316	38.11	1.09	2.24	cassandra-001	38.11
144.548	1.09	61	2018-08-17T19:53:31.878246143Z	77.25	14.894	38.11	1.04	2.24	cassandra-001	38.11
77.114	1.04	63	2018-08-17T19:53:38.884645775Z	77.26	7.327	38.11	1.77	2.23	cassandra-001	38.11
161.685	1.77	65	2018-08-17T19:53:45.891834865Z	77.26	17.61	38.11	9.1	2.34	cassandra-001	38.11
82.595	9.1	67	2018-08-17T19:53:52.898398982Z	77.26	8.316	38.11	1.09	3.67	cassandra-001	38.11
83.258	1.09	68	2018-08-17T19:53:59.905519475Z	77.26	8.962	38.11	1.13	2.52	cassandra-001	38.11
166.495	1.13	70	2018-08-17T19:54:06.912199865Z	77.26	18.134	38.11	1.28	2.54	cassandra-001	38.11
88.96	1.28	72	2018-08-17T19:54:13.919435053Z	77.26	9.607	38.11	1.05	2.57	cassandra-001	38.11
182.318	1.05	73	2018-08-17T19:54:20.926019958Z	77.26	17.722	38.11	9.22	2.57	cassandra-001	38.11
93.462	9.22	75	2018-08-17T19:54:27.932156185Z	77.26	8.814	38.11	1.07	3.81	cassandra-001	38.11
95.32	1.07	77	2018-08-17T19:54:34.938902118Z	77.26	9.83	38.11	1.01	2.47	cassandra-001	38.11
195.152	1.01	78	2018-08-17T19:54:41.947710919Z	77.26	20.041	38.11	1.35	2.46	cassandra-001	38.11
98.491	1.35	80	2018-08-17T19:54:48.956783241Z	77.26	8.522	38.11	1.3	2.5	cassandra-001	38.11
194.03	1.3	81	2018-08-17T19:54:55.96361667Z	77.26	19.55	38.11	9.15	2.5	cassandra-001	38.11
102.764	9.15	83	2018-08-17T19:55:02.971316436Z	77.26	10.276	38.11	1.26	3.85	cassandra-001	38.11
106.716	1.26	84	2018-08-17T19:55:09.977757596Z	77.26	12.255	38.11	1.09	2.52	cassandra-001	38.11
214.088	1.09	86	2018-08-17T19:55:16.983625373Z	77.27	21.474	38.11	1.05	2.53	cassandra-001	38.11
108.506	1.05	87	2018-08-17T19:55:23.990621212Z	77.27	10.512	38.11	1.14	2.53	cassandra-001	38.11
218.113	1.14	89	2018-08-17T19:55:30.997998727Z	77.24	18.924	38.08	11.44	2.5	cassandra-001	38.08
106.366	11.44	90	2018-08-17T19:55:38.007170504Z	77.24	8.478	38.08	1.11	4.19	cassandra-001	38.08
109.981	1.11	92	2018-08-17T19:55:45.018211671Z	77.24	9.467	38.08	1.07	2.85	cassandra-001	38.08
228.398	1.07	93	2018-08-17T19:55:52.02454127Z	77.24	20.98	38.08	1.11	2.82	cassandra-001	38.08
116.491	1.11	94	2018-08-17T19:55:59.034378653Z	77.25	9.374	38.08	1.07	2.82	cassandra-001	38.08
234.827	1.07	96	2018-08-17T19:56:06.040890448Z	77.25	19.486	38.08	11.32	2.82	cassandra-001	38.08
118.553	11.32	97	2018-08-17T19:56:13.048122884Z	77.25	10.415	38.08	1.11	4.52	cassandra-001	38.08
162.236	1.11	98	2018-08-17T19:56:20.059580552Z	77.25	13.914	38.08	3.17	2.8	cassandra-001	38.08
206.843	3.17	100	2018-08-17T19:56:27.069957907Z	77.25	22.056	38.08	1.08	3.14	cassandra-001	38.08
121.612	1.08	101	2018-08-17T19:56:34.079582894Z	77.25	11.8	38.08	1.08	3.14	cassandra-001	38.08
251.341	1.08	102	2018-08-17T19:56:41.086615677Z	77.25	25.908	38.08	6.56	3.14	cassandra-001	38.08
124.031	6.56	104	2018-08-17T19:56:48.094396606Z	77.25	10.888	38.08	1.15	4.05	cassandra-001	38.08
244.717	1.15	105	2018-08-17T19:56:55.100713863Z	77.25	22.996	38.08	9.13	2.36	cassandra-001	38.08
149.035	9.13	106	2018-08-17T19:57:02.109038309Z	77.25	14.458	38.08	1.17	3.69	cassandra-001	38.08
134.335	1.17	107	2018-08-17T19:57:09.116345371Z	77.25	14.173	38.08	1.98	3.36	cassandra-001	38.08
273.652	1.98	109	2018-08-17T19:57:16.123769101Z	77.25	28.478	38.08	2.78	3.51	cassandra-001	38.08
137.731	2.78	110	2018-08-17T19:57:23.130684221Z	77.25	16.852	38.08	1.09	3.79	cassandra-001	38.08
273.823	1.09	111	2018-08-17T19:57:30.136476182Z	77.25	28.278	38.08	11.8	2.88	cassandra-001	38.08
141.083	11.8	112	2018-08-17T19:57:37.145660706Z	77.26	15.188	38.08	1.21	4.66	cassandra-001	38.08
137.41	1.21	113	2018-08-17T19:57:44.153462788Z	77.25	13.669	38.08	1.07	3.34	cassandra-001	38.08
282.003	1.07	115	2018-08-17T19:57:51.160684171Z	77.26	24.5	38.08	1.09	3.32	cassandra-001	38.08
141.512	1.09	116	2018-08-17T19:57:58.166824472Z	77.26	11.332	38.08	1.1	3.17	cassandra-001	38.08
288.863	1.1	117	2018-08-17T19:58:05.173940532Z	77.26	22.478	38.08	13.75	2.89	cassandra-001	38.08
145.783	13.75	118	2018-08-17T19:58:12.180165501Z	77.26	12.809	38.08	1.35	5.0	cassandra-001	38.08
147.791	1.35	119	2018-08-17T19:58:19.186590469Z	77.26	11.212	38.08	1.26	3.26	cassandra-001	38.08
300.812	1.26	120	2018-08-17T19:58:26.194871141Z	77.26	31.214	38.08	1.01	3.27	cassandra-001	38.08
151.607	1.01	122	2018-08-17T19:58:33.20220652Z	77.26	15.184	38.08	1.15	3.26	cassandra-001	38.08
301.772	1.15	123	2018-08-17T19:58:40.210972118Z	77.26	31.555	38.08	13.58	3.27	cassandra-001	38.08
157.121	13.58	124	2018-08-17T19:58:47.217728103Z	77.26	17.678	38.08	1.09	5.35	cassandra-001	38.08
158.177	1.09	125	2018-08-17T19:58:54.225740759Z	77.26	16.186	38.08	1.09	3.24	cassandra-001	38.08
316.253	1.09	126	2018-08-17T19:59:01.2347799Z	77.27	30.114	38.08	0.98	3.2	cassandra-001	38.08
158.651	0.98	127	2018-08-17T19:59:08.243721576Z	77.26	15.05	38.08	1.22	3.15	cassandra-001	38.08
326.123	1.22	128	2018-08-17T19:59:15.253905694Z	77.26	37.477	38.07	13.55	3.18	cassandra-001	38.07
164.502	13.55	129	2018-08-17T19:59:22.261745661Z	77.25	19.352	38.07	1.1	5.25	cassandra-001	38.07
165.176	1.1	131	2018-08-17T19:59:29.273334956Z	77.26	18.626	38.07	1.21	3.17	cassandra-001	38.07
329.891	1.21	132	2018-08-17T19:59:36.280149514Z	77.26	32.182	38.07	1.13	3.19	cassandra-001	38.07
163.137	1.13	133	2018-08-17T19:59:43.287402976Z	77.26	14.849	38.07	1.22	3.2	cassandra-001	38.07
334.395	1.22	134	2018-08-17T19:59:50.29531424Z	77.26	33.104	38.07	12.62	3.24	cassandra-001	38.07
166.26	12.62	135	2018-08-17T19:59:57.307367534Z	77.26	12.684	38.07	1.25	5.14	cassandra-001	38.07
166.498	1.25	136	2018-08-17T20:00:04.316541892Z	77.26	11.852	38.07	1.07	3.09	cassandra-001	38.07
334.476	1.07	137	2018-08-17T20:00:11.323620228Z	77.26	25.775	38.07	1.12	3.08	cassandra-001	38.07
170.261	1.12	138	2018-08-17T20:00:18.331330269Z	77.27	15.072	38.07	0.96	3.07	cassandra-001	38.07
344.626	0.96	139	2018-08-17T20:00:25.338755649Z	77.27	31.674	38.07	13.22	3.04	cassandra-001	38.07
173.705	13.22	140	2018-08-17T20:00:32.346084865Z	77.27	14.662	38.07	1.07	5.04	cassandra-001	38.07
174.204	1.07	141	2018-08-17T20:00:39.354392409Z	77.27	13.803	38.07	2.21	3.12	cassandra-001	38.07
352.958	2.21	142	2018-08-17T20:00:46.362600231Z	77.27	30.84	38.07	2.86	3.28	cassandra-001	38.07
176.854	2.86	143	2018-08-17T20:00:53.370604595Z	77.27	15.07	38.07	1.26	3.57	cassandra-001	38.07
360.104	1.26	144	2018-08-17T20:01:00.388064957Z	77.27	34.64	38.07	14.82	3.6	cassandra-001	38.07
181.343	14.82	145	2018-08-17T20:01:07.396026591Z	77.27	18.356	38.07	1.18	5.91	cassandra-001	38.07
184.431	1.18	146	2018-08-17T20:01:14.407397636Z	77.27	20.665	38.07	1.18	3.9	cassandra-001	38.07
367.428	1.18	147	2018-08-17T20:01:21.416632937Z	77.28	40.802	38.07	1.09	3.92	cassandra-001	38.07
183.152	1.09	148	2018-08-17T20:01:28.425146112Z	77.27	18.104	38.07	1.16	3.73	cassandra-001	38.07
375.165	1.16	149	2018-08-17T20:01:35.435357875Z	77.28	38.252	38.07	14.85	3.45	cassandra-001	38.07
187.693	14.85	150	2018-08-17T20:01:42.442202853Z	77.28	19.713	38.07	1.06	5.71	cassandra-001	38.07
190.151	1.06	151	2018-08-17T20:01:49.448977858Z	77.28	18.248	38.07	1.22	3.42	cassandra-001	38.07
372.339	1.22	152	2018-08-17T20:01:56.456507103Z	77.28	41.63	38.07	1.07	3.43	cassandra-001	38.07
194.783	1.07	153	2018-08-17T20:02:03.466700521Z	77.28	22.326	38.07	1.08	3.41	cassandra-001	38.07
383.619	1.08	154	2018-08-17T20:02:10.473219047Z	77.28	39.067	38.07	16.91	3.41	cassandra-001	38.07
187.669	16.91	155	2018-08-17T20:02:17.479798012Z	77.28	15.976	38.07	1.08	6.03	cassandra-001	38.07
197.665	1.08	156	2018-08-17T20:02:24.486027778Z	77.28	22.14	38.07	1.07	3.74	cassandra-001	38.07
