container_cpu%	timestamp	memory%	net_send	host_moving_avg_cpu	net_receive	host_cpu	memory_active_anon%	name	memory_rss%	sensor_count
4.2	2019-04-23T21:48:33.452782981Z	87.69	704564.488	nan	78384276.786	0	30.49	kafka-001	30.49	2
8.89	2019-04-23T21:48:40.460021745Z	87.69	60.716	nan	51.266	4.2	30.49	kafka-001	30.49	7
5.37	2019-04-23T21:48:47.470416465Z	87.69	59.687	nan	62.175	8.89	30.49	kafka-001	30.49	10
13.25	2019-04-23T21:48:54.483789527Z	87.03	97.303	nan	9392.621	5.37	30.49	kafka-001	30.49	14
12.86	2019-04-23T21:49:01.49547946Z	87.34	146.864	nan	12892.812	13.25	30.49	kafka-001	30.49	17
15.73	2019-04-23T21:49:08.505430999Z	87.63	126.824	7.43	12230.329	12.86	30.5	kafka-001	30.5	20
21.51	2019-04-23T21:49:15.521502457Z	87.12	190.355	10.05	15996.457	15.73	30.5	kafka-001	30.5	23
20.22	2019-04-23T21:49:22.533128538Z	87.72	179.732	12.94	24992.388	21.51	30.5	kafka-001	30.5	26
21.62	2019-04-23T21:49:29.54586964Z	87.41	183.953	14.82	24463.621	20.22	30.5	kafka-001	30.5	28
22.97	2019-04-23T21:49:36.561077318Z	87.11	248.427	17.53	24507.462	21.62	30.49	kafka-001	30.49	31
37.6	2019-04-23T21:49:43.573411069Z	87.7	204.987	19.15	24774.559	22.97	30.49	kafka-001	30.49	33
38.91	2019-04-23T21:49:50.586580455Z	87.67	302.566	23.27	35648.73	37.6	30.49	kafka-001	30.49	35
30.23	2019-04-23T21:49:57.599013842Z	87.61	253.271	27.14	34551.705	38.91	30.49	kafka-001	30.49	38
31.49	2019-04-23T21:50:04.61408382Z	87.55	252.836	28.59	34989.839	30.23	30.49	kafka-001	30.49	40
24.96	2019-04-23T21:50:11.627946537Z	87.49	338.211	30.47	34718.27	31.49	30.49	kafka-001	30.49	42
37.12	2019-04-23T21:50:18.638581533Z	87.46	280.464	31.03	36058.934	24.96	30.49	kafka-001	30.49	44
36.89	2019-04-23T21:50:25.652068276Z	87.6	372.694	33.38	42819.466	37.12	30.49	kafka-001	30.49	46
33.97	2019-04-23T21:50:32.665452136Z	86.88	301.469	33.27	44046.818	36.89	30.49	kafka-001	30.49	48
33.08	2019-04-23T21:50:39.675490862Z	87.04	314.797	32.44	44118.97	33.97	30.49	kafka-001	30.49	50
37.94	2019-04-23T21:50:46.686096933Z	87.23	412.203	32.92	45223.737	33.08	30.49	kafka-001	30.49	52
38.69	2019-04-23T21:50:53.730733699Z	87.4	327.404	33.99	44195.232	37.94	30.49	kafka-001	30.49	53
48.21	2019-04-23T21:51:00.74068447Z	87.66	439.073	36.28	47781.302	38.69	30.49	kafka-001	30.49	55
42.35	2019-04-23T21:51:07.752213888Z	86.99	366.079	38.13	55133.539	48.21	30.49	kafka-001	30.49	57
43.79	2019-04-23T21:51:14.765307052Z	87.38	364.131	39.04	54647.625	42.35	30.49	kafka-001	30.49	59
43.76	2019-04-23T21:51:21.776333133Z	87.57	475.067	40.68	54058.709	43.79	30.49	kafka-001	30.49	60
54.22	2019-04-23T21:51:28.787129484Z	87.08	380.425	42.46	54010.838	43.76	30.5	kafka-001	30.5	62
45.95	2019-04-23T21:51:35.798695786Z	87.37	491.418	45.17	53299.793	54.22	30.5	kafka-001	30.5	64
44.68	2019-04-23T21:51:42.812636974Z	87.69	390.214	46.38	54997.286	45.95	30.5	kafka-001	30.5	65
47.81	2019-04-23T21:51:49.824418807Z	87.01	403.589	45.79	59307.637	44.68	30.5	kafka-001	30.5	67
54.65	2019-04-23T21:51:56.834611592Z	87.73	543.835	46.7	66588.349	47.81	30.5	kafka-001	30.5	68
52.82	2019-04-23T21:52:03.846259295Z	87.61	450.621	48.51	69564.001	54.65	30.5	kafka-001	30.5	70
62.67	2019-04-23T21:52:10.859567275Z	87.52	590.11	50.02	74811.517	52.82	30.5	kafka-001	30.5	72
61.79	2019-04-23T21:52:17.877764341Z	87.23	444.058	51.43	63718.082	62.67	30.5	kafka-001	30.5	73
58.64	2019-04-23T21:52:24.888937739Z	87.21	475.459	54.07	73660.055	61.79	30.5	kafka-001	30.5	75
55.58	2019-04-23T21:52:31.903122476Z	87.15	603.34	56.4	71948.363	58.64	30.5	kafka-001	30.5	76
59.74	2019-04-23T21:52:38.918037302Z	86.88	502.393	57.69	76442.428	55.58	30.5	kafka-001	30.5	78
61.11	2019-04-23T21:52:45.931485201Z	87.72	620.478	58.54	72312.61	59.74	30.5	kafka-001	30.5	79
62.29	2019-04-23T21:52:52.945714769Z	86.9	503.132	59.92	77542.987	61.11	30.5	kafka-001	30.5	81
51.85	2019-04-23T21:52:59.957760271Z	86.92	518.004	59.86	75019.209	62.29	30.5	kafka-001	30.5	82
61.43	2019-04-23T21:53:06.970014594Z	86.76	653.785	58.2	76590.359	51.85	30.5	kafka-001	30.5	84
55.41	2019-04-23T21:53:13.982010627Z	87.52	508.021	58.67	69292.262	61.43	30.5	kafka-001	30.5	85
67.92	2019-04-23T21:53:20.993293542Z	87.56	664.603	58.64	76678.601	55.41	30.5	kafka-001	30.5	86
70.86	2019-04-23T21:53:28.004470491Z	87.3	520.05	60.0	76424.79	67.92	30.5	kafka-001	30.5	88
62.52	2019-04-23T21:53:35.019534921Z	87.33	527.664	61.63	76072.196	70.86	30.5	kafka-001	30.5	89
68.38	2019-04-23T21:53:42.033637266Z	87.43	690.835	61.67	78789.472	62.52	30.5	kafka-001	30.5	91
66.08	2019-04-23T21:53:49.044582274Z	87.52	539.215	64.42	77727.808	68.38	30.5	kafka-001	30.5	92
47.02	2019-04-23T21:53:56.056804944Z	87.49	686.846	65.2	73543.056	66.08	30.5	kafka-001	30.5	93
62.85	2019-04-23T21:54:03.069024525Z	87.58	548.719	63.8	78003.309	47.02	30.5	kafka-001	30.5	94
65.12	2019-04-23T21:54:10.07818716Z	87.67	707.422	62.95	78474.455	62.85	30.5	kafka-001	30.5	96
61.65	2019-04-23T21:54:17.089305548Z	87.75	553.985	62.0	77540.465	65.12	30.5	kafka-001	30.5	97
40.64	2019-04-23T21:54:24.101466403Z	87.62	536.31	61.85	68836.853	61.65	30.5	kafka-001	30.5	98
71.64	2019-04-23T21:54:31.110528778Z	87.68	717.974	57.23	76716.063	40.64	30.5	kafka-001	30.5	99
58.86	2019-04-23T21:54:38.121145542Z	87.79	568.246	58.15	79257.472	71.64	30.5	kafka-001	30.5	101
73.42	2019-04-23T21:54:45.135425252Z	87.02	742.132	60.13	79215.68	58.86	30.5	kafka-001	30.5	102
62.71	2019-04-23T21:54:52.149949289Z	87.09	568.282	61.89	77452.744	73.42	30.5	kafka-001	30.5	103
67.69	2019-04-23T21:54:59.161023618Z	87.2	577.821	61.49	79209.15	62.71	30.5	kafka-001	30.5	104
69.38	2019-04-23T21:55:06.178580663Z	87.31	765.13	62.49	78956.082	67.69	30.5	kafka-001	30.5	106
71.6	2019-04-23T21:55:13.192829663Z	87.43	589.501	67.28	79469.922	69.38	30.5	kafka-001	30.5	107
65.15	2019-04-23T21:55:20.218453792Z	87.53	785.199	67.28	78873.989	71.6	30.5	kafka-001	30.5	108
66.59	2019-04-23T21:55:27.231678518Z	87.63	592.04	68.32	78643.148	65.15	30.5	kafka-001	30.5	109
56.69	2019-04-23T21:55:34.244972323Z	87.53	594.013	67.19	74491.095	66.59	30.5	kafka-001	30.5	110
80.86	2019-04-23T21:55:41.255098521Z	87.64	783.243	66.18	79351.729	56.69	30.5	kafka-001	30.5	111
72.53	2019-04-23T21:55:48.26713643Z	87.75	605.061	68.38	78870.229	80.86	30.5	kafka-001	30.5	112
71.44	2019-04-23T21:55:55.279616083Z	86.86	793.501	68.9	79742.072	72.53	30.5	kafka-001	30.5	113
62.91	2019-04-23T21:56:02.295463906Z	87.83	605.412	68.88	77225.022	71.44	30.5	kafka-001	30.5	114
72.64	2019-04-23T21:56:09.31316757Z	87.05	610.446	68.5	78831.435	62.91	30.5	kafka-001	30.5	115
69.36	2019-04-23T21:56:16.328022086Z	87.15	809.149	69.51	79006.683	72.64	30.5	kafka-001	30.5	117
