memory_rss%	host_moving_avg_cpu	name	sensor_count	host_cpu	container_cpu%	net_receive	memory%	timestamp	net_send	memory_active_anon%
29.71	nan	kafka-001	2	0	4.09	9560662.739	88.35	2019-04-23T06:34:25.991854823Z	64096.303	29.71
29.73	nan	kafka-001	6	4.09	6.45	40.499	88.4	2019-04-23T06:34:32.99986367Z	33.173	29.73
29.73	nan	kafka-001	10	6.45	7.52	62.591	88.4	2019-04-23T06:34:40.008150019Z	69.761	29.73
29.73	nan	kafka-001	14	7.52	12.59	8834.985	87.82	2019-04-23T06:34:47.032991161Z	113.06	29.73
29.74	nan	kafka-001	17	12.59	12.75	12690.665	88.13	2019-04-23T06:34:54.044816975Z	115.564	29.74
29.74	7.23	kafka-001	20	12.75	13.99	12111.854	88.42	2019-04-23T06:35:01.054721595Z	163.536	29.74
29.74	9.56	kafka-001	22	13.99	30.63	14532.394	87.99	2019-04-23T06:35:08.064415507Z	143.058	29.74
29.74	13.99	kafka-001	25	30.63	26.07	24517.501	88.58	2019-04-23T06:35:15.076015914Z	184.552	29.74
29.76	17.26	kafka-001	28	26.07	20.58	23544.791	88.37	2019-04-23T06:35:22.08761573Z	230.963	29.76
29.76	19.43	kafka-001	31	20.58	16.41	24757.727	88.19	2019-04-23T06:35:29.100503337Z	197.061	29.76
29.76	20.07	kafka-001	33	16.41	25.29	24682.936	87.99	2019-04-23T06:35:36.112072164Z	265.408	29.76
29.76	22.16	kafka-001	35	25.29	71.25	35319.966	87.79	2019-04-23T06:35:43.122843348Z	241.567	29.76
29.76	31.7	kafka-001	38	71.25	36.33	35628.33	87.86	2019-04-23T06:35:50.131150553Z	288.881	29.76
29.76	32.66	kafka-001	40	36.33	25.31	35761.843	87.75	2019-04-23T06:35:57.141132343Z	273.377	29.76
29.76	32.53	kafka-001	42	25.31	25.24	34843.008	88.59	2019-04-23T06:36:04.151005946Z	266.295	29.76
29.77	33.31	kafka-001	44	25.24	31.9	37365.117	88.52	2019-04-23T06:36:11.16017946Z	345.43	29.77
29.76	35.89	kafka-001	46	31.9	31.66	42813.938	88.57	2019-04-23T06:36:18.173065379Z	297.776	29.76
29.76	36.95	kafka-001	48	31.66	35.08	45335.232	87.74	2019-04-23T06:36:25.186211551Z	393.355	29.76
29.76	30.92	kafka-001	50	35.08	34.38	45139.747	88.05	2019-04-23T06:36:32.198480814Z	317.731	29.76
29.76	30.6	kafka-001	52	34.38	29.93	45650.932	88.18	2019-04-23T06:36:39.211305953Z	315.092	29.76
29.76	31.37	kafka-001	54	29.93	33.87	45745.308	88.31	2019-04-23T06:36:46.232759986Z	414.888	29.76
29.76	32.8	kafka-001	56	33.87	34.98	48335.324	88.5	2019-04-23T06:36:53.241442839Z	338.043	29.76
29.76	33.32	kafka-001	58	34.98	41.88	54156.207	88.64	2019-04-23T06:37:00.252803296Z	454.387	29.76
29.76	35.02	kafka-001	60	41.88	39.48	55256.975	88.05	2019-04-23T06:37:07.262410277Z	367.21	29.76
