memory_rss%	host_moving_avg_cpu	name	sensor_count	host_cpu	container_cpu%	net_receive	memory%	timestamp	net_send	memory_active_anon%
30.37	nan	kafka-001	2	0	3.34	114862732.307	87.91	2019-04-23T08:50:33.423479996Z	1002182.89	30.37
30.37	nan	kafka-001	6	3.34	7.57	46.046	87.92	2019-04-23T08:50:40.434657295Z	55.328	30.37
30.36	nan	kafka-001	10	7.57	6.19	61.483	87.92	2019-04-23T08:50:47.445982524Z	58.311	30.36
30.36	nan	kafka-001	13	6.19	12.78	8191.405	88.11	2019-04-23T08:50:54.453806527Z	94.341	30.36
30.36	nan	kafka-001	17	12.78	13.03	12872.22	87.52	2019-04-23T08:51:01.463470943Z	142.031	30.36
30.36	7.15	kafka-001	20	13.03	11.92	12361.677	87.82	2019-04-23T08:51:08.470652428Z	126.011	30.36
30.36	9.14	kafka-001	22	11.92	23.49	14269.394	88.16	2019-04-23T08:51:15.481333626Z	177.334	30.36
30.36	12.5	kafka-001	25	23.49	18.19	24765.787	87.85	2019-04-23T08:51:22.490457295Z	176.005	30.36
30.36	14.27	kafka-001	28	18.19	30.31	24961.199	87.55	2019-04-23T08:51:29.502893812Z	190.666	30.36
30.36	18.29	kafka-001	30	30.31	21.48	24555.255	88.14	2019-04-23T08:51:36.514544659Z	249.297	30.36
30.36	19.74	kafka-001	33	21.48	23.82	24117.926	87.81	2019-04-23T08:51:43.531500037Z	204.43	30.36
30.36	21.53	kafka-001	35	23.82	29.26	35757.887	87.77	2019-04-23T08:51:50.538965645Z	303.985	30.36
30.36	24.42	kafka-001	38	29.26	28.62	34742.538	87.7	2019-04-23T08:51:57.561021864Z	249.806	30.36
30.36	25.28	kafka-001	40	28.62	32.49	34920.913	87.64	2019-04-23T08:52:04.570469282Z	252.453	30.36
30.36	27.66	kafka-001	42	32.49	35.83	34754.529	87.57	2019-04-23T08:52:11.580166497Z	329.862	30.36
30.36	28.58	kafka-001	44	35.83	34.27	36428.729	87.55	2019-04-23T08:52:18.589030483Z	270.215	30.36
30.36	30.72	kafka-001	46	34.27	39.98	45186.251	87.31	2019-04-23T08:52:25.600941173Z	386.954	30.36
30.36	33.41	kafka-001	48	39.98	35.57	44812.311	87.48	2019-04-23T08:52:32.613633381Z	307.746	30.36
30.37	34.46	kafka-001	50	35.57	37.18	44167.576	87.63	2019-04-23T08:52:39.6262707Z	311.665	30.37
30.37	35.89	kafka-001	52	37.18	36.69	44694.067	87.8	2019-04-23T08:52:46.636155197Z	414.546	30.37
30.37	36.59	kafka-001	54	36.69	39.48	45019.124	87.97	2019-04-23T08:52:53.650359493Z	327.025	30.37
30.37	37.2	kafka-001	56	39.48	50.41	51514.319	87.4	2019-04-23T08:53:00.660746189Z	449.592	30.37
30.37	39.89	kafka-001	58	50.41	39.9	54603.017	87.81	2019-04-23T08:53:07.672912423Z	364.387	30.37
30.37	39.87	kafka-001	59	39.9	42.85	54364.168	88.0	2019-04-23T08:53:14.686012827Z	369.152	30.37
30.37	41.09	kafka-001	61	42.85	42.29	53676.173	87.47	2019-04-23T08:53:21.706819806Z	483.876	30.37
30.37	41.94	kafka-001	63	42.29	42.75	52795.412	87.63	2019-04-23T08:53:28.716497558Z	380.027	30.37
30.37	42.95	kafka-001	65	42.75	46.79	54608.399	87.83	2019-04-23T08:53:35.729163217Z	501.016	30.37
30.37	44.17	kafka-001	66	46.79	42.36	56728.773	87.38	2019-04-23T08:53:42.738183626Z	402.202	30.37
30.37	42.82	kafka-001	68	42.36	52.78	66125.706	87.84	2019-04-23T08:53:49.751444484Z	430.017	30.37
30.37	44.97	kafka-001	70	52.78	58.63	63260.301	88.25	2019-04-23T08:53:56.762341058Z	548.064	30.37
30.37	47.6	kafka-001	71	58.63	50.45	60311.574	87.7	2019-04-23T08:54:03.773234105Z	425.496	30.37
30.37	48.96	kafka-001	73	50.45	54.98	64944.15	87.44	2019-04-23T08:54:10.781884751Z	568.055	30.37
30.37	51.0	kafka-001	74	54.98	50.82	71746.669	88.16	2019-04-23T08:54:17.796073441Z	474.837	30.37
30.37	51.67	kafka-001	76	50.82	65.4	74799.51	88.15	2019-04-23T08:54:24.803105792Z	483.399	30.37
30.37	55.51	kafka-001	77	65.4	57.58	73969.478	88.12	2019-04-23T08:54:31.818632413Z	619.317	30.37
30.37	56.31	kafka-001	79	57.58	59.89	76843.851	88.16	2019-04-23T08:54:38.834449013Z	497.253	30.37
30.37	56.52	kafka-001	80	59.89	62.38	75793.22	88.07	2019-04-23T08:54:45.85017441Z	638.924	30.37
30.37	58.51	kafka-001	82	62.38	61.35	77508.646	88.13	2019-04-23T08:54:52.887295435Z	519.077	30.37
30.37	59.57	kafka-001	83	61.35	57.54	75032.511	88.13	2019-04-23T08:54:59.902305517Z	508.262	30.37
30.37	60.69	kafka-001	85	57.54	61.47	76271.903	87.72	2019-04-23T08:55:06.914479161Z	657.621	30.37
30.37	60.03	kafka-001	86	61.47	53.53	75150.23	87.72	2019-04-23T08:55:13.925352945Z	516.08	30.37
30.37	59.36	kafka-001	87	53.53	65.95	75406.3	87.61	2019-04-23T08:55:20.936379168Z	670.596	30.37
30.37	60.37	kafka-001	89	65.95	49.73	77452.091	87.66	2019-04-23T08:55:27.949451704Z	551.607	30.37
30.37	58.26	kafka-001	90	49.73	64.22	77231.393	87.72	2019-04-23T08:55:34.960157608Z	543.75	30.37
30.37	58.74	kafka-001	92	64.22	59.46	77315.608	87.77	2019-04-23T08:55:41.971909294Z	702.815	30.37
30.37	59.06	kafka-001	93	59.46	61.91	77522.464	87.73	2019-04-23T08:55:48.983329679Z	541.695	30.37
30.37	59.13	kafka-001	94	61.91	64.64	76740.165	87.76	2019-04-23T08:55:55.994420673Z	702.208	30.37
30.37	60.98	kafka-001	96	64.64	74.02	78612.844	87.84	2019-04-23T08:56:03.014625005Z	556.897	30.37
30.37	62.33	kafka-001	97	74.02	66.49	77055.418	87.88	2019-04-23T08:56:10.028094052Z	563.719	30.37
30.37	65.12	kafka-001	98	66.49	55.88	75146.048	87.87	2019-04-23T08:56:17.040715056Z	718.896	30.37
30.37	63.73	kafka-001	99	55.88	65.99	78274.38	87.94	2019-04-23T08:56:24.051889975Z	563.391	30.37
30.37	64.82	kafka-001	101	65.99	66.42	78916.715	88.03	2019-04-23T08:56:31.064700931Z	743.444	30.37
30.37	65.57	kafka-001	102	66.42	60.51	75674.994	88.04	2019-04-23T08:56:38.076659008Z	557.77	30.37
30.37	64.88	kafka-001	103	60.51	67.68	77427.596	88.09	2019-04-23T08:56:45.088102874Z	746.274	30.37
30.37	63.83	kafka-001	104	67.68	76.14	79742.37	88.2	2019-04-23T08:56:52.102085934Z	579.888	30.37
30.37	65.44	kafka-001	106	76.14	65.96	78108.442	88.26	2019-04-23T08:56:59.125051846Z	583.647	30.37
30.37	67.12	kafka-001	107	65.96	63.84	79048.446	87.46	2019-04-23T08:57:06.138489163Z	771.754	30.37
30.37	66.76	kafka-001	108	63.84	66.63	77468.198	87.51	2019-04-23T08:57:13.150938432Z	592.457	30.37
30.37	66.79	kafka-001	109	66.63	69.66	76134.474	88.21	2019-04-23T08:57:20.165986573Z	771.719	30.37
30.37	68.32	kafka-001	111	69.66	70.33	79743.846	88.32	2019-04-23T08:57:27.180324116Z	601.864	30.37
30.37	68.76	kafka-001	112	70.33	66.24	79520.825	88.31	2019-04-23T08:57:34.194993665Z	601.494	30.37
30.37	67.11	kafka-001	113	66.24	71.03	78294.223	88.14	2019-04-23T08:57:41.208840914Z	796.407	30.37
30.37	67.96	kafka-001	114	71.03	69.7	79514.885	88.23	2019-04-23T08:57:48.221487835Z	611.074	30.37
30.37	68.93	kafka-001	115	69.7	73.13	78607.202	88.2	2019-04-23T08:57:55.234101781Z	805.508	30.37
30.37	70.01	kafka-001	116	73.13	70.23	78450.389	88.27	2019-04-23T08:58:02.246360358Z	617.827	30.37
30.37	70.11	kafka-001	117	70.23	70.3	79454.87	88.37	2019-04-23T08:58:09.259778899Z	619.989	30.37
30.37	70.1	kafka-001	119	70.3	64.37	76856.06	87.5	2019-04-23T08:58:16.271318154Z	815.482	30.37
30.37	69.79	kafka-001	120	64.37	68.67	79028.477	87.59	2019-04-23T08:58:23.285572834Z	634.009	30.37
30.37	69.4	kafka-001	121	68.67	77.18	78495.485	87.66	2019-04-23T08:58:30.298061595Z	838.363	30.37
30.37	70.65	kafka-001	122	77.18	71.88	78934.703	87.7	2019-04-23T08:58:37.309763125Z	637.999	30.37
30.37	70.44	kafka-001	123	71.88	68.43	78017.129	87.76	2019-04-23T08:58:44.320189781Z	642.934	30.37
30.37	70.14	kafka-001	124	68.43	70.86	79179.783	87.85	2019-04-23T08:58:51.33210782Z	843.967	30.37
30.37	70.23	kafka-001	125	70.86	71.45	79752.843	87.96	2019-04-23T08:58:58.345678299Z	648.651	30.37
30.37	71.41	kafka-001	126	71.45	72.19	78285.968	88.03	2019-04-23T08:59:05.354904615Z	855.798	30.37
30.37	72.0	kafka-001	127	72.19	71.53	77775.602	88.08	2019-04-23T08:59:12.370166511Z	654.595	30.37
30.37	71.06	kafka-001	128	71.53	75.36	79150.336	88.17	2019-04-23T08:59:19.380271807Z	657.743	30.37
30.37	71.64	kafka-001	129	75.36	67.71	78888.133	88.25	2019-04-23T08:59:26.391259709Z	873.495	30.37
30.37	71.52	kafka-001	130	67.71	77.92	79338.226	88.24	2019-04-23T08:59:33.403874691Z	662.48	30.37
30.37	72.69	kafka-001	131	77.92	70.17	78037.57	88.22	2019-04-23T08:59:40.415271468Z	875.32	30.37
30.37	72.48	kafka-001	132	70.17	71.39	79086.295	88.31	2019-04-23T08:59:47.42832108Z	662.892	30.37
30.37	72.35	kafka-001	134	71.39	71.74	79357.263	88.4	2019-04-23T08:59:54.441062788Z	670.244	30.37
30.37	72.38	kafka-001	135	71.74	69.58	79808.838	87.6	2019-04-23T09:00:01.453966205Z	895.093	30.37
30.37	71.42	kafka-001	136	69.58	67.66	79274.491	88.33	2019-04-23T09:00:08.476049125Z	676.767	30.37
30.37	71.41	kafka-001	137	67.66	70.59	79259.853	88.43	2019-04-23T09:00:15.490446504Z	907.783	30.37
30.37	70.19	kafka-001	138	70.59	67.6	78728.003	87.6	2019-04-23T09:00:22.500843391Z	683.183	30.37
30.37	69.76	kafka-001	139	67.6	64.28	79495.493	87.69	2019-04-23T09:00:29.512331182Z	688.286	30.37
30.37	68.57	kafka-001	140	64.28	69.7	79254.311	87.68	2019-04-23T09:00:36.527195402Z	907.632	30.37
30.37	68.23	kafka-001	141	69.7	71.04	78818.119	87.65	2019-04-23T09:00:43.538519357Z	689.207	30.37
30.37	68.48	kafka-001	142	71.04	84.79	76246.875	87.67	2019-04-23T09:00:50.551503396Z	929.388	30.37
30.37	71.33	kafka-001	143	84.79	77.15	77723.168	87.72	2019-04-23T09:00:57.564363437Z	693.191	30.37
30.37	72.43	kafka-001	144	77.15	69.85	79012.226	87.8	2019-04-23T09:01:04.575380812Z	699.659	30.37
30.37	72.8	kafka-001	145	69.85	80.33	79356.14	87.89	2019-04-23T09:01:11.589238263Z	934.492	30.37
30.37	75.48	kafka-001	145	80.33	63.82	79134.233	87.98	2019-04-23T09:01:18.602850786Z	704.859	30.37
30.37	74.5	kafka-001	146	63.82	80.69	78293.155	88.05	2019-04-23T09:01:25.618109562Z	955.817	30.37
30.37	76.1	kafka-001	147	80.69	69.25	79004.432	88.1	2019-04-23T09:01:32.631407698Z	708.644	30.37
30.37	73.52	kafka-001	148	69.25	84.46	79182.617	88.15	2019-04-23T09:01:39.644916791Z	717.522	30.37
30.37	74.73	kafka-001	149	84.46	76.82	79718.532	88.19	2019-04-23T09:01:46.656611343Z	963.2	30.37
30.37	75.9	kafka-001	150	76.82	84.9	78693.435	88.26	2019-04-23T09:01:53.668828444Z	720.793	30.37
30.37	76.66	kafka-001	151	84.9	66.69	78929.847	88.35	2019-04-23T09:02:00.679145272Z	977.23	30.37
30.37	77.14	kafka-001	152	66.69	76.32	79346.107	88.34	2019-04-23T09:02:07.693255564Z	728.423	30.37
30.37	76.41	kafka-001	153	76.32	71.26	78822.998	88.42	2019-04-23T09:02:14.704783561Z	725.883	30.37
30.37	76.74	kafka-001	154	71.26	74.8	75640.858	88.42	2019-04-23T09:02:21.719790676Z	991.996	30.37
30.37	75.13	kafka-001	155	74.8	78.65	78951.699	87.6	2019-04-23T09:02:28.735909977Z	730.851	30.37
30.37	75.44	kafka-001	156	78.65	82.41	78925.875	87.67	2019-04-23T09:02:35.748322564Z	986.264	30.37
30.37	75.02	kafka-001	157	82.41	66.32	78471.493	87.64	2019-04-23T09:02:42.760864906Z	735.505	30.37
30.37	74.96	kafka-001	157	66.32	80.33	78972.593	87.72	2019-04-23T09:02:49.77567348Z	740.735	30.37
30.37	75.63	kafka-001	158	80.33	75.58	78590.312	87.79	2019-04-23T09:02:56.791175244Z	1011.074	30.37
30.37	76.35	kafka-001	159	75.58	81.15	77481.04	87.73	2019-04-23T09:03:03.802479129Z	743.269	30.37
30.37	77.41	kafka-001	160	81.15	66.55	78948.717	87.81	2019-04-23T09:03:10.814824484Z	1009.518	30.37
30.37	75.39	kafka-001	161	66.55	72.8	79078.842	87.89	2019-04-23T09:03:17.832561772Z	750.031	30.37
30.37	73.79	kafka-001	162	72.8	76.86	79510.714	87.98	2019-04-23T09:03:24.845327429Z	763.888	30.37
30.37	75.54	kafka-001	163	76.86	80.48	78674.434	88.06	2019-04-23T09:03:31.859932154Z	1027.538	30.37
30.37	75.57	kafka-001	164	80.48	79.41	79010.629	88.14	2019-04-23T09:03:38.889855088Z	765.457	30.37
30.37	76.21	kafka-001	164	79.41	81.88	77271.488	88.18	2019-04-23T09:03:45.902214334Z	1038.249	30.37
30.37	76.33	kafka-001	165	81.88	71.43	79082.061	88.16	2019-04-23T09:03:52.913413709Z	784.824	30.37
30.37	77.14	kafka-001	166	71.43	78.08	76005.387	88.17	2019-04-23T09:03:59.924267412Z	767.979	30.37
30.37	78.02	kafka-001	167	78.08	75.41	79370.791	88.26	2019-04-23T09:04:06.938202688Z	1040.483	30.37
30.37	77.78	kafka-001	168	75.41	80.23	78506.932	88.32	2019-04-23T09:04:13.95306706Z	768.096	30.37
30.37	77.74	kafka-001	169	80.23	82.28	79178.799	88.41	2019-04-23T09:04:20.965964414Z	1053.622	30.37
30.37	78.22	kafka-001	170	82.28	84.19	78313.712	88.47	2019-04-23T09:04:27.98089504Z	782.155	30.37
30.37	78.6	kafka-001	170	84.19	81.25	78304.629	87.41	2019-04-23T09:04:34.99458106Z	795.033	30.37
30.37	80.24	kafka-001	171	81.25	72.47	77811.436	88.26	2019-04-23T09:04:42.006438307Z	1058.559	30.37
30.37	79.3	kafka-001	172	72.47	84.97	79317.609	88.35	2019-04-23T09:04:49.019137106Z	791.361	30.37
30.37	80.9	kafka-001	173	84.97	81.99	79924.054	88.4	2019-04-23T09:04:56.029558922Z	1073.294	30.37
30.37	81.19	kafka-001	174	81.99	85.96	79089.194	88.48	2019-04-23T09:05:03.042276234Z	791.542	30.37
30.37	81.81	kafka-001	175	85.96	86.03	77741.405	87.63	2019-04-23T09:05:10.054964578Z	904.816	30.37
30.37	82.11	kafka-001	175	86.03	75.45	77540.084	87.67	2019-04-23T09:05:17.068147401Z	965.818	30.37
30.37	81.14	kafka-001	176	75.45	80.75	78294.652	87.74	2019-04-23T09:05:24.079840547Z	805.328	30.37
30.37	82.52	kafka-001	177	80.75	75.99	78899.509	87.8	2019-04-23T09:05:31.099352104Z	1094.036	30.37
