container_cpu%	net_send	sensor_count	memory_rss%	net_receive	host_cpu	host_moving_avg_cpu	name	memory_active_anon%	timestamp	memory%
1.3	14958.082	2	38.59	132603.206	0	nan	cassandra-001	38.59	2018-08-19T03:36:06.922469115Z	89.79
1.09	0.671	6	38.59	3.463	1.3	nan	cassandra-001	38.59	2018-08-19T03:36:13.93103911Z	89.79
3.96	2.752	10	38.59	18.547	1.09	nan	cassandra-001	38.59	2018-08-19T03:36:20.939884559Z	89.79
1.16	1.988	14	38.59	15.697	3.96	nan	cassandra-001	38.59	2018-08-19T03:36:27.948303829Z	89.79
1.62	2.502	17	38.59	18.462	1.16	nan	cassandra-001	38.59	2018-08-19T03:36:34.955043359Z	89.79
1.25	6.505	21	38.59	47.555	1.62	1.52	cassandra-001	38.59	2018-08-19T03:36:41.963023195Z	89.79
1.24	3.304	24	38.59	28.238	1.25	1.73	cassandra-001	38.59	2018-08-19T03:36:48.970650097Z	89.79
6.81	7.886	27	38.59	64.325	1.24	1.72	cassandra-001	38.59	2018-08-19T03:36:55.977501848Z	89.79
1.22	4.846	30	38.59	36.467	6.81	2.67	cassandra-001	38.59	2018-08-19T03:37:02.985581219Z	89.79
1.28	4.766	33	38.59	38.914	1.22	2.22	cassandra-001	38.59	2018-08-19T03:37:09.992593589Z	89.79
1.11	9.859	35	38.59	84.944	1.28	2.24	cassandra-001	38.59	2018-08-19T03:37:17.002298492Z	89.79
1.14	4.724	38	38.59	44.685	1.11	2.15	cassandra-001	38.59	2018-08-19T03:37:24.011003011Z	89.79
6.64	9.314	40	38.59	97.591	1.14	2.13	cassandra-001	38.59	2018-08-19T03:37:31.01769144Z	89.79
1.03	4.458	42	38.59	50.751	6.64	3.03	cassandra-001	38.59	2018-08-19T03:37:38.024574756Z	89.79
1.26	5.975	45	38.59	52.29	1.03	2.07	cassandra-001	38.59	2018-08-19T03:37:45.033559415Z	89.79
1.21	13.546	47	38.59	113.99	1.26	2.08	cassandra-001	38.59	2018-08-19T03:37:52.041380281Z	89.8
1.23	6.264	49	38.59	60.711	1.21	2.07	cassandra-001	38.59	2018-08-19T03:37:59.047951179Z	89.8
3.77	12.856	51	38.59	126.709	1.23	2.09	cassandra-001	38.59	2018-08-19T03:38:06.055342345Z	89.8
1.15	6.169	53	38.59	64.447	3.77	2.52	cassandra-001	38.59	2018-08-19T03:38:13.062036269Z	89.79
7.43	11.44	55	38.59	136.175	1.15	1.61	cassandra-001	38.59	2018-08-19T03:38:20.068998098Z	89.8
1.13	7.092	57	38.59	68.216	7.43	2.68	cassandra-001	38.59	2018-08-19T03:38:27.077665654Z	89.8
1.22	6.788	59	38.59	70.484	1.13	2.65	cassandra-001	38.59	2018-08-19T03:38:34.084575448Z	89.8
2.05	15.197	61	38.59	150.73	1.22	2.66	cassandra-001	38.59	2018-08-19T03:38:41.092572552Z	89.8
1.16	8.106	63	38.59	78.42	2.05	2.79	cassandra-001	38.59	2018-08-19T03:38:48.098729151Z	89.8
8.51	13.016	65	38.59	157.681	1.16	2.36	cassandra-001	38.59	2018-08-19T03:38:55.105040487Z	89.8
1.14	7.748	67	38.59	79.905	8.51	3.58	cassandra-001	38.59	2018-08-19T03:39:02.11155191Z	89.8
