container_cpu%	net_send	sensor_count	memory_rss%	net_receive	host_cpu	host_moving_avg_cpu	name	memory_active_anon%	timestamp	memory%
2.06	19286166.373	2	15.96	18798975.543	0	nan	kafka-001	15.96	2018-08-19T05:19:22.457449544Z	89.15
3.26	14.983	7	15.96	25.812	2.06	nan	kafka-001	15.96	2018-08-19T05:19:29.465414182Z	89.15
4.05	43.522	11	15.96	46.058	3.26	nan	kafka-001	15.96	2018-08-19T05:19:36.476051871Z	89.15
5.7	45.389	15	15.96	65.615	4.05	nan	kafka-001	15.96	2018-08-19T05:19:43.484145258Z	89.15
6.76	88.913	19	15.96	82.614	5.7	nan	kafka-001	15.96	2018-08-19T05:19:50.495883759Z	89.15
6.85	71.331	23	15.96	95.297	6.76	3.64	kafka-001	15.96	2018-08-19T05:19:57.506312456Z	89.15
6.48	82.005	26	15.96	109.585	6.85	4.78	kafka-001	15.96	2018-08-19T05:20:04.517730843Z	89.15
8.12	140.574	29	15.96	126.3	6.48	5.52	kafka-001	15.96	2018-08-19T05:20:11.529272049Z	89.15
9.42	101.352	32	15.96	135.361	8.12	6.33	kafka-001	15.96	2018-08-19T05:20:18.540753472Z	89.15
10.25	169.874	34	15.96	148.478	9.42	7.22	kafka-001	15.96	2018-08-19T05:20:25.551105746Z	89.16
9.38	121.148	37	15.96	154.055	10.25	7.98	kafka-001	15.96	2018-08-19T05:20:32.562003311Z	89.15
10.41	127.146	40	15.96	163.281	9.38	8.42	kafka-001	15.96	2018-08-19T05:20:39.576503381Z	89.16
9.9	208.604	42	15.96	178.706	10.41	9.01	kafka-001	15.96	2018-08-19T05:20:46.588547625Z	89.16
12.13	144.445	44	15.96	185.571	9.9	9.58	kafka-001	15.96	2018-08-19T05:20:53.600744986Z	89.16
12.26	230.416	46	15.96	196.436	12.13	10.25	kafka-001	15.96	2018-08-19T05:21:00.61469318Z	89.16
10.76	156.746	48	15.96	202.098	12.26	10.72	kafka-001	15.96	2018-08-19T05:21:07.628834545Z	89.16
11.49	166.186	51	15.96	208.732	10.76	10.81	kafka-001	15.96	2018-08-19T05:21:14.642415353Z	89.16
13.69	264.342	53	15.96	219.568	11.49	11.16	kafka-001	15.96	2018-08-19T05:21:21.653253725Z	89.17
15.11	179.028	54	15.96	222.697	13.69	11.7	kafka-001	15.96	2018-08-19T05:21:28.667328574Z	89.17
15.03	277.544	56	15.96	224.06	15.11	12.57	kafka-001	15.96	2018-08-19T05:21:35.679639176Z	89.17
14.2	193.992	58	15.96	242.622	15.03	13.06	kafka-001	15.96	2018-08-19T05:21:42.693741387Z	89.17
15.11	195.671	60	15.96	243.39	14.2	13.38	kafka-001	15.96	2018-08-19T05:21:49.705902538Z	89.17
14.77	302.168	62	15.96	258.666	15.11	14.1	kafka-001	15.96	2018-08-19T05:21:56.718486278Z	89.17
17.15	211.514	64	15.96	266.369	14.77	14.65	kafka-001	15.96	2018-08-19T05:22:03.73049927Z	89.17
17.27	330.498	65	15.96	273.996	17.15	15.23	kafka-001	15.96	2018-08-19T05:22:10.74172594Z	89.18
16.35	221.762	67	15.96	278.455	17.27	15.59	kafka-001	15.96	2018-08-19T05:22:17.752951585Z	89.18
16.4	224.074	69	15.96	278.671	16.35	15.81	kafka-001	15.96	2018-08-19T05:22:24.76513284Z	89.18
17.52	356.97	71	15.96	294.522	16.4	16.17	kafka-001	15.96	2018-08-19T05:22:31.777189315Z	89.18
18.66	241.318	72	15.96	302.887	17.52	16.58	kafka-001	15.96	2018-08-19T05:22:38.790127894Z	89.18
18.57	365.721	74	15.96	307.392	18.66	17.22	kafka-001	15.96	2018-08-19T05:22:45.814194808Z	89.19
18.91	250.11	76	15.96	312.792	18.57	17.46	kafka-001	15.96	2018-08-19T05:22:52.825115449Z	89.19
19.74	252.64	77	15.96	317.164	18.91	17.73	kafka-001	15.96	2018-08-19T05:22:59.836402133Z	89.19
19.82	395.458	78	15.96	327.334	19.74	18.3	kafka-001	15.96	2018-08-19T05:23:06.847886397Z	89.19
20.35	263.704	80	15.96	329.845	19.82	18.87	kafka-001	15.96	2018-08-19T05:23:13.860440583Z	89.19
26.65	411.138	82	15.96	340.016	20.35	19.34	kafka-001	15.96	2018-08-19T05:23:20.871438822Z	89.2
19.94	276.086	83	15.96	343.975	26.65	20.67	kafka-001	15.96	2018-08-19T05:23:27.882861219Z	89.2
20.69	275.622	85	15.96	344.999	19.94	20.9	kafka-001	15.96	2018-08-19T05:23:34.895362231Z	89.2
21.32	428.663	86	15.96	360.596	20.69	21.2	kafka-001	15.96	2018-08-19T05:23:41.907335607Z	89.21
19.35	290.252	88	15.96	359.754	21.32	21.46	kafka-001	15.96	2018-08-19T05:23:48.920401799Z	89.21
22.56	451.584	89	15.96	368.825	19.35	21.38	kafka-001	15.96	2018-08-19T05:23:55.933653743Z	89.21
22.2	299.402	90	15.96	374.457	22.56	21.75	kafka-001	15.96	2018-08-19T05:24:02.944737995Z	89.21
21.78	303.588	92	15.96	379.385	22.2	21.01	kafka-001	15.96	2018-08-19T05:24:09.957590355Z	89.21
18.3	470.108	93	15.96	387.16	21.78	21.32	kafka-001	15.96	2018-08-19T05:24:16.969685497Z	89.22
23.64	314.193	94	15.96	392.013	18.3	20.92	kafka-001	15.96	2018-08-19T05:24:23.982619742Z	89.22
24.24	483.955	96	15.96	386.282	23.64	21.3	kafka-001	15.96	2018-08-19T05:24:30.994998474Z	89.22
23.57	303.668	97	15.96	382.471	24.24	22.12	kafka-001	15.96	2018-08-19T05:24:38.007075799Z	89.23
24.37	325.398	99	15.96	406.238	23.57	22.29	kafka-001	15.96	2018-08-19T05:24:45.018307937Z	89.23
23.33	503.93	100	15.96	407.805	24.37	22.65	kafka-001	15.96	2018-08-19T05:24:52.029721386Z	89.23
24.78	327.312	101	15.96	405.599	23.33	22.91	kafka-001	15.96	2018-08-19T05:24:59.040359985Z	89.24
19.44	522.24	103	15.96	424.946	24.78	23.99	kafka-001	15.96	2018-08-19T05:25:06.053839029Z	89.24
21.22	343.12	104	15.96	427.25	19.44	23.29	kafka-001	15.96	2018-08-19T05:25:13.065391276Z	89.24
25.83	532.248	105	15.96	430.801	21.22	22.78	kafka-001	15.96	2018-08-19T05:25:20.076539151Z	89.24
24.1	346.932	107	15.96	430.771	25.83	23.16	kafka-001	15.96	2018-08-19T05:25:27.087670758Z	89.25
26.99	357.57	108	15.96	446.855	24.1	23.12	kafka-001	15.96	2018-08-19T05:25:34.09921355Z	89.25
23.42	545.392	109	15.96	442.232	26.99	23.73	kafka-001	15.96	2018-08-19T05:25:41.110745559Z	89.25
26.66	357.764	110	15.96	450.341	23.42	23.5	kafka-001	15.96	2018-08-19T05:25:48.123179053Z	89.26
25.71	563.25	111	15.96	463.353	26.66	24.7	kafka-001	15.96	2018-08-19T05:25:55.136014446Z	89.26
26.93	373.339	113	15.96	464.92	25.71	25.45	kafka-001	15.96	2018-08-19T05:26:02.149091444Z	89.26
27.09	378.332	114	15.96	474.811	26.93	25.64	kafka-001	15.96	2018-08-19T05:26:09.161194745Z	89.27
28.0	579.739	115	15.96	481.722	27.09	26.13	kafka-001	15.96	2018-08-19T05:26:16.174316394Z	89.27
26.48	385.622	116	15.96	481.325	28.0	26.3	kafka-001	15.96	2018-08-19T05:26:23.185919471Z	89.27
27.46	587.122	117	15.96	480.032	26.48	26.81	kafka-001	15.96	2018-08-19T05:26:30.195871488Z	89.28
28.55	388.783	119	15.96	485.087	27.46	26.95	kafka-001	15.96	2018-08-19T05:26:37.207239443Z	89.28
28.23	397.515	120	15.96	493.547	28.55	27.42	kafka-001	15.96	2018-08-19T05:26:44.219619922Z	89.28
