container_cpu%	net_send	sensor_count	memory_rss%	net_receive	host_cpu	host_moving_avg_cpu	name	memory_active_anon%	timestamp	memory%
1.09	8320.079	0	38.33	66776.799	0	nan	cassandra-001	38.33	2018-08-19T02:38:03.629995Z	91.64
1.24	0.342	0	38.33	0.282	1.09	nan	cassandra-001	38.33	2018-08-19T02:38:10.638417091Z	91.64
1.2	0.0	0	38.33	0.0	1.24	nan	cassandra-001	38.33	2018-08-19T02:38:17.645707556Z	91.64
1.21	0.0	0	38.33	0.0	1.2	nan	cassandra-001	38.33	2018-08-19T02:38:24.656169096Z	91.64
1.25	0.0	0	38.33	0.0	1.21	nan	cassandra-001	38.33	2018-08-19T02:38:31.663221062Z	91.64
1.77	0.342	0	38.34	0.282	1.25	1.0	cassandra-001	38.31	2018-08-19T02:38:38.669644424Z	91.64
1.1	0.0	0	38.34	0.0	1.77	1.29	cassandra-001	38.31	2018-08-19T02:38:45.675801181Z	91.64
1.11	0.0	0	38.34	0.0	1.1	1.3	cassandra-001	38.34	2018-08-19T02:38:52.683338396Z	91.64
1.18	0.0	0	38.34	0.0	1.11	1.27	cassandra-001	38.32	2018-08-19T02:38:59.689774022Z	91.59
1.18	0.171	0	38.34	0.141	1.18	1.27	cassandra-001	38.34	2018-08-19T02:39:06.69655263Z	91.59
1.22	0.171	0	38.34	0.141	1.18	1.26	cassandra-001	38.34	2018-08-19T02:39:13.70399626Z	91.59
1.25	0.0	0	38.34	0.0	1.22	1.26	cassandra-001	38.32	2018-08-19T02:39:20.712041275Z	91.59
